Material ID: Al_MTP_06_100_eq_0_ranfor_10000
Unit cell composition: Al32
Material:  Al
Site positions of initial unit cell:
 Al          Al          Al          Al         
 0.00000     0.00000     2.02395     2.02395    
 0.00000     2.02395     0.00000     2.02395    
 0.00000     2.02395     2.02395     0.00000    
Properties:
 Time        Epot        Ekin        Etot        Temp     MSD         Self_diff   LC_a      LC_b      LC_c      Volume      Pressure    DebyeT   Lindemann 
 fs          eV/atom     eV/atom     eV/atom     K        Å^2         mm^2/s      Å         Å         Å         Å^3/atom    GPa        K        1          
 500         -3.72864    0.03661     -3.69203    283.25   0.0         0.0         4.048     4.048     4.048     16.582    0.0         inf      0.0        
 1000        -3.69045    0.03135     -3.6591     242.55   0.00043     0.0         4.048     4.048     4.048     16.582    0.0         3023.81  0.00362    
 1500        -3.70043    0.04335     -3.65708    335.34   0.00031     0.0         4.048     4.048     4.048     16.582    0.0         4199.73  0.00306    
 2000        -3.69709    0.02957     -3.66753    228.73   0.00037     0.0         4.048     4.048     4.048     16.582    0.0         3162.53  0.00336    
 2500        -3.69371    0.0384      -3.65531    297.06   0.00045     0.0         4.048     4.048     4.048     16.582    0.0         3258.23  0.00372    
 3000        -3.70093    0.0369      -3.66403    285.47   0.00044     0.0         4.048     4.048     4.048     16.582    0.0         3230.82  0.00367    
 3500        -3.69431    0.04223     -3.65207    326.74   0.00047     0.0         4.048     4.048     4.048     16.582    0.0         3340.04  0.0038     
 4000        -3.68993    0.04284     -3.64709    331.39   0.00061     0.0         4.048     4.048     4.048     16.582    0.0         2967.79  0.00431    
 4500        -3.69191    0.03467     -3.65723    268.24   0.00057     0.0         4.048     4.048     4.048     16.582    0.0         2756.19  0.00418    
 5000        -3.68814    0.03336     -3.65478    258.09   0.00063     0.0         4.048     4.048     4.048     16.582    0.0         2570.66  0.00439    
 5500        -3.68586    0.04247     -3.64339    328.58   0.00048     0.0         4.048     4.048     4.048     16.582    0.0         3319.64  0.00384    
 6000        -3.69448    0.03175     -3.66273    245.66   0.00053     0.0         4.048     4.048     4.048     16.582    0.0         2750.45  0.004      
 6500        -3.69036    0.03903     -3.65133    301.93   0.00063     0.0         4.048     4.048     4.048     16.582    0.0         2779.75  0.00439    
 7000        -3.69417    0.02916     -3.66501    225.57   0.00063     0.0         4.048     4.048     4.048     16.582    0.0         2401.44  0.00439    
 7500        -3.69397    0.03162     -3.66235    244.59   0.00059     0.0         4.048     4.048     4.048     16.582    0.0         2580.06  0.00426    
 8000        -3.69183    0.04138     -3.65045    320.13   0.00065     0.0         4.048     4.048     4.048     16.582    0.0         2818.21  0.00446    
 8500        -3.69203    0.04286     -3.64917    331.6    0.0007      0.0         4.048     4.048     4.048     16.582    0.0         2762.5   0.00463    
 9000        -3.69064    0.03239     -3.65825    250.59   0.00067     0.0         4.048     4.048     4.048     16.582    0.0         2465.18  0.00451    
 9500        -3.6929     0.04057     -3.65233    313.84   0.00066     0.0         4.048     4.048     4.048     16.582    0.0         2767.32  0.0045     
 10000       -3.70544    0.04097     -3.66447    316.97   0.00052     0.0         4.048     4.048     4.048     16.582    0.0         3136.42  0.00399    
 10500       -3.69077    0.04021     -3.65056    311.07   0.00067     0.0         4.048     4.048     4.048     16.582    0.0         2745.06  0.00451    
 11000       -3.69138    0.03523     -3.65615    272.58   0.00067     0.0         4.048     4.048     4.048     16.582    0.0         2568.83  0.00452    
 11500       -3.69524    0.03561     -3.65963    275.47   0.00084     0.0         4.048     4.048     4.048     16.582    0.0         2298.18  0.00507    
 12000       -3.69378    0.03349     -3.66029    259.06   0.00088     0.0         4.048     4.048     4.048     16.582    0.0         2185.49  0.00517    
 12500       -3.69869    0.03504     -3.66365    271.07   0.0009      0.0         4.048     4.048     4.048     16.582    0.0         2201.97  0.00525    
 13000       -3.69045    0.04768     -3.64277    368.88   0.00129     0.0         4.048     4.048     4.048     16.582    0.0         2149.53  0.00628    
 13500       -3.69005    0.03287     -3.65718    254.28   0.00156     0.0         4.048     4.048     4.048     16.582    0.0         1621.7   0.00691    
 14000       -3.68833    0.03654     -3.65179    282.72   0.002       0.0         4.048     4.048     4.048     16.582    0.0         1511.88  0.00781    
 14500       -3.68764    0.03539     -3.65225    273.79   0.00252     0.0         4.048     4.048     4.048     16.582    0.0         1325.03  0.00877    
 15000       -3.69061    0.03174     -3.65887    245.55   0.00248     0.0         4.048     4.048     4.048     16.582    0.0         1266.47  0.00869    
 15500       -3.69907    0.03218     -3.66689    248.96   0.00238     0.0         4.048     4.048     4.048     16.582    0.0         1301.85  0.00852    
 16000       -3.68859    0.03864     -3.64995    298.96   0.00272     0.0         4.048     4.048     4.048     16.582    0.0         1332.71  0.00912    
 16500       -3.69824    0.02985     -3.6684     230.89   0.00286     0.0         4.048     4.048     4.048     16.582    0.0         1142.59  0.00934    
 17000       -3.69607    0.03519     -3.66088    272.23   0.00313     0.0         4.048     4.048     4.048     16.582    0.0         1185.82  0.00978    
 17500       -3.69099    0.03554     -3.65545    274.98   0.00296     0.0         4.048     4.048     4.048     16.582    0.0         1226.01  0.0095     
 18000       -3.69036    0.02926     -3.66109    226.4    0.00265     0.0         4.048     4.048     4.048     16.582    0.0         1175.76  0.00899    
 18500       -3.69175    0.03728     -3.65447    288.42   0.00346     0.0         4.048     4.048     4.048     16.582    0.0         1160.72  0.01028    
 19000       -3.69808    0.02907     -3.66901    224.86   0.00338     0.0         4.048     4.048     4.048     16.582    0.0         1036.75  0.01016    
 19500       -3.70067    0.03796     -3.66271    293.65   0.00288     0.0         4.048     4.048     4.048     16.582    0.0         1284.87  0.00937    
 20000       -3.69813    0.03924     -3.65889    303.56   0.00317     0.0         4.048     4.048     4.048     16.582    0.0         1244.24  0.00984    
 20500       -3.70026    0.03588     -3.66438    277.59   0.00292     0.0         4.048     4.048     4.048     16.582    0.0         1239.23  0.00945    
 21000       -3.69551    0.03882     -3.65669    300.34   0.00312     0.0         4.048     4.048     4.048     16.582    0.0         1248.46  0.00975    
 21500       -3.69471    0.03398     -3.66073    262.92   0.00378     0.0         4.048     4.048     4.048     16.582    0.0         1060.66  0.01074    
 22000       -3.6892     0.04329     -3.64591    334.92   0.00308     0.0         4.048     4.048     4.048     16.582    0.0         1325.78  0.0097     
 22500       -3.69691    0.03711     -3.6598     287.07   0.00273     0.0         4.048     4.048     4.048     16.582    0.0         1305.18  0.00912    
 23000       -3.6946     0.03178     -3.66282    245.83   0.0023      0.0         4.048     4.048     4.048     16.582    0.0         1314.24  0.00838    
 23500       -3.69627    0.03498     -3.66129    270.64   0.00243     0.0         4.048     4.048     4.048     16.582    0.0         1341.44  0.00862    
 24000       -3.68799    0.03716     -3.65083    287.47   0.0023      0.0         4.048     4.048     4.048     16.582    0.0         1420.8   0.00839    
 24500       -3.69473    0.03715     -3.65758    287.4    0.00172     0.0         4.048     4.048     4.048     16.582    0.0         1644.38  0.00724    
