Material ID: Si_MTP_06_100_eq_0_offset_0_ranfor_10000
Unit cell composition: Si8
Material:  Si
Site positions of initial unit cell:
 Si         
 0.00000    
 0.00000    
 0.00000    
Properties:
 Time        Epot        Ekin        Etot        Temp     MSD         Self_diff   LC_a      LC_b      LC_c      Volume      Pressure    DebyeT   Lindemann 
 fs          eV/atom     eV/atom     eV/atom     K        Å^2         mm^2/s      Å         Å         Å         Å^3/atom    GPa        K        1          
 100         -6.20059    0.0528      -6.14779    408.44   0.0         0.0         3.84      3.84      3.84      40.048    0.0         0        0.0        
 200         -7.02527    0.21716     -6.80811    1680.01  0.00983     8e-05       3.84      3.84      3.84      40.048    0.0         1629.68  0.01291    
 300         -7.3607     0.17968     -7.18102    1390.08  0.00949     5e-05       3.84      3.84      3.84      40.048    0.0         1508.83  0.01268    
 400         -7.54146    0.11483     -7.42663    888.33   0.01337     6e-05       3.84      3.84      3.84      40.048    0.0         1016.12  0.01506    
 500         -7.6137     0.10389     -7.50981    803.75   0.01232     4e-05       3.84      3.84      3.84      40.048    0.0         1006.89  0.01445    
 600         -7.61263    0.0537      -7.55893    415.42   0.01139     3e-05       3.84      3.84      3.84      40.048    0.0         752.96   0.0139     
 700         -7.62529    0.04132     -7.58397    319.7    0.01144     3e-05       3.84      3.84      3.84      40.048    0.0         659.08   0.01393    
 800         -7.63411    0.0445      -7.58961    344.26   0.01217     3e-05       3.84      3.84      3.84      40.048    0.0         663.06   0.01436    
 900         -7.62471    0.04759     -7.57712    368.2    0.01103     2e-05       3.84      3.84      3.84      40.048    0.0         720.28   0.01368    
 1000        -7.60785    0.02435     -7.5835     188.37   0.01095     2e-05       3.84      3.84      3.84      40.048    0.0         517.12   0.01362    
 1100        -7.61946    0.03326     -7.5862     257.32   0.01154     2e-05       3.84      3.84      3.84      40.048    0.0         588.75   0.01399    
 1200        -7.62278    0.03166     -7.59112    244.91   0.01179     2e-05       3.84      3.84      3.84      40.048    0.0         568.17   0.01414    
 1300        -7.62247    0.02152     -7.60095    166.47   0.01236     2e-05       3.84      3.84      3.84      40.048    0.0         457.57   0.01447    
 1400        -7.62992    0.03184     -7.59808    246.29   0.01209     1e-05       3.84      3.84      3.84      40.048    0.0         562.65   0.01432    
