Material ID: Si_MTP_06_100_eq_0_offset_0_ranfor_10000
Unit cell composition: Si8
Material:  Si
Site positions of initial unit cell:
 Si         
 0.00000    
 0.00000    
 0.00000    
Properties:
 Time        Epot        Ekin        Etot        Temp     MSD         Self_diff   LC_a      LC_b      LC_c      Volume      Pressure    DebyeT   Lindemann 
 fs          eV/atom     eV/atom     eV/atom     K        Å^2         mm^2/s      Å         Å         Å         Å^3/atom    GPa        K        1          
 100         -5.65616    0.04369     -5.61247    338.0    0.0         0.0         3.84      3.84      3.84      40.048    0.0         0        0.0        
 200         -5.628      0.01397     -5.61403    108.04   0.00021     0.0         3.84      3.84      3.84      40.048    0.0         2800.47  0.00191    
 300         -5.6432     0.0303      -5.61291    234.38   0.00011     0.0         3.84      3.84      3.84      40.048    0.0         5730.41  0.00137    
 400         -5.63816    0.02777     -5.61039    214.85   0.00019     0.0         3.84      3.84      3.84      40.048    0.0         4180.96  0.0018     
 500         -5.63498    0.02781     -5.60717    215.13   0.00019     0.0         3.84      3.84      3.84      40.048    0.0         4151.38  0.00181    
 600         -5.63845    0.03249     -5.60597    251.32   0.00021     0.0         3.84      3.84      3.84      40.048    0.0         4343.28  0.00187    
 700         -5.6423     0.02734     -5.61495    211.54   0.00018     0.0         3.84      3.84      3.84      40.048    0.0         4324.32  0.00173    
 800         -5.6328     0.02698     -5.60582    208.73   0.00031     0.0         3.84      3.84      3.84      40.048    0.0         3213.86  0.00231    
 900         -5.63873    0.02949     -5.60925    228.11   0.00027     0.0         3.84      3.84      3.84      40.048    0.0         3650.44  0.00212    
 1000        -5.62944    0.01973     -5.60971    152.61   0.00034     0.0         3.84      3.84      3.84      40.048    0.0         2645.07  0.0024     
 1100        -5.63834    0.02069     -5.61765    160.05   0.0003      0.0         3.84      3.84      3.84      40.048    0.0         2883.94  0.00225    
 1200        -5.63367    0.0134      -5.62027    103.69   0.00031     0.0         3.84      3.84      3.84      40.048    0.0         2268.07  0.0023     
 1300        -5.63635    0.01131     -5.62505    87.46    0.00029     0.0         3.84      3.84      3.84      40.048    0.0         2153.11  0.00223    
 1400        -5.6426     0.02176     -5.62084    168.33   0.00025     0.0         3.84      3.84      3.84      40.048    0.0         3241.62  0.00205    
 1500        -5.61947    0.01027     -5.6092     79.44    0.00045     0.0         3.84      3.84      3.84      40.048    0.0         1655.75  0.00276    
 1600        -5.62998    0.02165     -5.60833    167.49   0.00039     0.0         3.84      3.84      3.84      40.048    0.0         2589.53  0.00257    
 1700        -5.63764    0.02716     -5.61048    210.1    0.0003      0.0         3.84      3.84      3.84      40.048    0.0         3300.05  0.00225    
 1800        -5.6227     0.01817     -5.60453    140.55   0.00035     0.0         3.84      3.84      3.84      40.048    0.0         2503.0   0.00243    
 1900        -5.62872    0.02579     -5.60293    199.54   0.00036     0.0         3.84      3.84      3.84      40.048    0.0         2927.55  0.00248    
 2000        -5.6348     0.0293      -5.60551    226.64   0.00029     0.0         3.84      3.84      3.84      40.048    0.0         3469.99  0.00223    
 2100        -5.62298    0.02226     -5.60071    172.23   0.00034     0.0         3.84      3.84      3.84      40.048    0.0         2804.17  0.0024     
 2200        -5.6306     0.03014     -5.60045    233.2    0.00029     0.0         3.84      3.84      3.84      40.048    0.0         3541.52  0.00221    
 2300        -5.63094    0.03178     -5.59916    245.87   0.00029     0.0         3.84      3.84      3.84      40.048    0.0         3645.44  0.00221    
 2400        -5.62694    0.02624     -5.6007     202.99   0.00029     0.0         3.84      3.84      3.84      40.048    0.0         3311.98  0.00221    
 2500        -5.62777    0.03134     -5.59643    242.43   0.00031     0.0         3.84      3.84      3.84      40.048    0.0         3458.94  0.00231    
 2600        -5.62456    0.03611     -5.58844    279.38   0.00039     0.0         3.84      3.84      3.84      40.048    0.0         3347.22  0.00256    
