Material ID: Si_MTP_10_1000_eq_0_ranfor_10000
Unit cell composition: Si8
Material:  Si
Site positions of initial unit cell:
 Si         
 0.00000    
 0.00000    
 0.00000    
Properties:
 Time        Epot        Ekin        Etot        Temp     MSD         Self_diff   LC_a      LC_b      LC_c      Volume      Pressure    DebyeT   Lindemann 
 fs          eV/atom     eV/atom     eV/atom     K        Å^2         mm^2/s      Å         Å         Å         Å^3/atom    GPa        K        1          
 100         6.97705     0.03133     7.00838     242.36   0.0         0.0         3.84      3.84      3.84      40.048    0.0         inf      0.0        
 200         6.92516     0.06705     6.99221     518.73   0.07066     0.00059     3.84      3.84      3.84      40.048    0.0         337.82   0.03461    
 300         4.56784     0.23401     4.80186     1810.42  1.01349     0.00563     3.84      3.84      3.84      40.048    0.0         166.64   0.13107    
 400         1.25334     0.1261      1.37945     975.59   3.03335     0.01264     3.84      3.84      3.84      40.048    0.0         70.71    0.22676    
 500         -0.36434    0.03876     -0.32558    299.89   4.65909     0.01553     3.84      3.84      3.84      40.048    0.0         31.63    0.28103    
 600         -0.50059    0.03192     -0.46867    246.93   4.96019     0.01378     3.84      3.84      3.84      40.048    0.0         27.82    0.28997    
 700         -0.6314     0.02351     -0.60789    181.9    5.35987     0.01276     3.84      3.84      3.84      40.048    0.0         22.97    0.30143    
 800         -1.20953    0.08559     -1.12394    662.15   6.25372     0.01303     3.84      3.84      3.84      40.048    0.0         40.57    0.32559    
 900         -1.4616     0.03441     -1.42719    266.24   7.10157     0.01315     3.84      3.84      3.84      40.048    0.0         24.14    0.34696    
 1000        -1.72221    0.05765     -1.66456    445.98   7.01254     0.01169     3.84      3.84      3.84      40.048    0.0         31.44    0.34478    
 1100        -1.83258    0.04664     -1.78594    360.84   6.82294     0.01034     3.84      3.84      3.84      40.048    0.0         28.67    0.34009    
 1200        -1.83629    0.0333      -1.803      257.58   6.76905     0.0094      3.84      3.84      3.84      40.048    0.0         24.32    0.33874    
 1300        -2.07997    0.05059     -2.02938    391.4    7.75848     0.00995     3.84      3.84      3.84      40.048    0.0         28.0     0.36265    
 1400        -2.1931     0.04604     -2.14707    356.17   8.33412     0.00992     3.84      3.84      3.84      40.048    0.0         25.77    0.37587    
 1500        -2.24692    0.06294     -2.18398    486.93   8.68491     0.00965     3.84      3.84      3.84      40.048    0.0         29.52    0.3837     
 1600        -2.70855    0.06626     -2.64229    512.63   9.8657      0.01028     3.84      3.84      3.84      40.048    0.0         28.42    0.40895    
 1700        -2.918      0.03356     -2.88444    259.62   10.08942    0.00989     3.84      3.84      3.84      40.048    0.0         20.0     0.41356    
 1800        -3.03729    0.04534     -2.99195    350.78   10.41668    0.00965     3.84      3.84      3.84      40.048    0.0         22.88    0.42021    
 1900        -3.03881    0.02943     -3.00938    227.7    10.6474     0.00934     3.84      3.84      3.84      40.048    0.0         18.23    0.42484    
 2000        -3.03064    0.01891     -3.01173    146.29   10.48201    0.00874     3.84      3.84      3.84      40.048    0.0         14.73    0.42153    
 2100        -3.03767    0.03219     -3.00548    249.0    10.46845    0.00831     3.84      3.84      3.84      40.048    0.0         19.23    0.42126    
 2200        -3.03306    0.04094     -2.99212    316.71   10.38066    0.00786     3.84      3.84      3.84      40.048    0.0         21.78    0.41949    
 2300        -3.05141    0.04397     -3.00745    340.15   10.60072    0.00768     3.84      3.84      3.84      40.048    0.0         22.33    0.42391    
 2400        -3.02054    0.03254     -2.988      251.76   10.66941    0.00741     3.84      3.84      3.84      40.048    0.0         19.15    0.42528    
 2500        -3.03254    0.0352      -2.99734    272.33   10.76765    0.00718     3.84      3.84      3.84      40.048    0.0         19.83    0.42723    
 2600        -3.03525    0.03355     -3.0017     259.54   10.38541    0.00666     3.84      3.84      3.84      40.048    0.0         19.71    0.41958    
 2700        -3.02639    0.02305     -3.00333    178.36   10.5302     0.0065      3.84      3.84      3.84      40.048    0.0         16.23    0.4225     
 2800        -3.03991    0.04829     -2.99163    373.56   10.60031    0.00631     3.84      3.84      3.84      40.048    0.0         23.41    0.4239     
 2900        -3.03961    0.02625     -3.01336    203.08   10.32515    0.00593     3.84      3.84      3.84      40.048    0.0         17.49    0.41836    
 3000        -3.00959    0.02395     -2.98563    185.32   10.40299    0.00578     3.84      3.84      3.84      40.048    0.0         16.64    0.41994    
 3100        -3.03502    0.06747     -2.96755    521.96   10.5476     0.00567     3.84      3.84      3.84      40.048    0.0         27.74    0.42285    
 3200        -3.01571    0.02502     -2.99069    193.6    10.5918     0.00552     3.84      3.84      3.84      40.048    0.0         16.86    0.42373    
 3300        -3.03604    0.03672     -2.99932    284.08   10.44463    0.00528     3.84      3.84      3.84      40.048    0.0         20.56    0.42078    
 3400        -3.0467     0.031       -3.0157     239.86   10.6178     0.0052      3.84      3.84      3.84      40.048    0.0         18.74    0.42425    
 3500        -3.02732    0.02114     -3.00618    163.51   10.67599    0.00508     3.84      3.84      3.84      40.048    0.0         15.43    0.42541    
 3600        -3.04024    0.01976     -3.02048    152.86   10.59291    0.0049      3.84      3.84      3.84      40.048    0.0         14.98    0.42375    
 3700        -3.03604    0.04837     -2.98767    374.2    10.58813    0.00477     3.84      3.84      3.84      40.048    0.0         23.44    0.42366    
 3800        -3.02558    0.03767     -2.98791    291.45   10.84848    0.00476     3.84      3.84      3.84      40.048    0.0         20.44    0.42883    
 3900        -3.04427    0.02916     -3.01512    225.58   10.5409     0.0045      3.84      3.84      3.84      40.048    0.0         18.24    0.42271    
 4000        -3.02775    0.03742     -2.99033    289.52   10.8864     0.00454     3.84      3.84      3.84      40.048    0.0         20.33    0.42958    
 4100        -3.02752    0.02565     -3.00187    198.45   10.5571     0.00429     3.84      3.84      3.84      40.048    0.0         17.09    0.42304    
 4200        -3.04081    0.04357     -2.99724    337.09   10.61954    0.00421     3.84      3.84      3.84      40.048    0.0         22.21    0.42429    
 4300        -3.02562    0.03593     -2.98969    277.93   10.28038    0.00398     3.84      3.84      3.84      40.048    0.0         20.5     0.41746    
 4400        -3.03564    0.03034     -3.00529    234.76   10.39692    0.00394     3.84      3.84      3.84      40.048    0.0         18.73    0.41981    
 4500        -3.04425    0.02512     -3.01914    194.32   10.81139    0.004       3.84      3.84      3.84      40.048    0.0         16.72    0.4281     
 4600        -3.03639    0.04652     -2.98987    359.88   10.72952    0.00389     3.84      3.84      3.84      40.048    0.0         22.83    0.42648    
 4700        -3.0442     0.03526     -3.00894    272.8    10.69179    0.00379     3.84      3.84      3.84      40.048    0.0         19.92    0.42573    
 4800        -3.03876    0.04666     -2.99209    360.99   10.47585    0.00364     3.84      3.84      3.84      40.048    0.0         23.14    0.42141    
 4900        -3.03232    0.03895     -2.99337    301.37   10.4805     0.00356     3.84      3.84      3.84      40.048    0.0         21.14    0.4215     
 5000        -3.02778    0.04652     -2.98126    359.89   10.33221    0.00344     3.84      3.84      3.84      40.048    0.0         23.27    0.41851    
 5100        -3.0151     0.02741     -2.98769    212.09   10.55074    0.00345     3.84      3.84      3.84      40.048    0.0         17.68    0.42291    
 5200        -3.02886    0.03154     -2.99732    244.02   10.28099    0.0033      3.84      3.84      3.84      40.048    0.0         19.21    0.41747    
 5300        -3.02142    0.04653     -2.97489    359.94   9.94939     0.00313     3.84      3.84      3.84      40.048    0.0         23.71    0.41068    
 5400        -3.02306    0.0277      -2.99535    214.33   10.47857    0.00323     3.84      3.84      3.84      40.048    0.0         17.83    0.42146    
 5500        -3.02929    0.02002     -3.00928    154.85   10.4097     0.00315     3.84      3.84      3.84      40.048    0.0         15.21    0.42007    
 5600        -3.04858    0.0438      -3.00478    338.85   10.34815    0.00308     3.84      3.84      3.84      40.048    0.0         22.56    0.41883    
 5700        -3.04399    0.03219     -3.0118     249.01   10.35669    0.00303     3.84      3.84      3.84      40.048    0.0         19.33    0.419      
 5800        -3.04594    0.02317     -3.02277    179.25   10.26351    0.00295     3.84      3.84      3.84      40.048    0.0         16.48    0.41711    
 5900        -3.03866    0.02551     -3.01315    197.36   10.22707    0.00289     3.84      3.84      3.84      40.048    0.0         17.32    0.41637    
 6000        -3.04789    0.03188     -3.01601    246.62   10.4173     0.00289     3.84      3.84      3.84      40.048    0.0         19.18    0.42023    
 6100        -3.04154    0.0554      -2.98614    428.58   10.39579    0.00284     3.84      3.84      3.84      40.048    0.0         25.32    0.41979    
 6200        -3.04058    0.05732     -2.98326    443.45   10.4734     0.00282     3.84      3.84      3.84      40.048    0.0         25.65    0.42136    
 6300        -3.02865    0.04343     -2.98522    336.0    10.33769    0.00273     3.84      3.84      3.84      40.048    0.0         22.48    0.41862    
 6400        -3.04246    0.03209     -3.01037    248.25   10.5475     0.00275     3.84      3.84      3.84      40.048    0.0         19.13    0.42284    
 6500        -3.03475    0.0547      -2.98005    423.18   10.31885    0.00265     3.84      3.84      3.84      40.048    0.0         25.25    0.41824    
 6600        -3.03866    0.0235      -3.01516    181.83   10.34359    0.00261     3.84      3.84      3.84      40.048    0.0         16.53    0.41874    
 6700        -3.04787    0.02862     -3.01925    221.42   10.34612    0.00257     3.84      3.84      3.84      40.048    0.0         18.24    0.41879    
 6800        -3.04268    0.02107     -3.02161    163.0    10.31303    0.00253     3.84      3.84      3.84      40.048    0.0         15.67    0.41812    
 6900        -3.05575    0.04036     -3.01539    312.27   10.59848    0.00256     3.84      3.84      3.84      40.048    0.0         21.4     0.42386    
 7000        -3.01269    0.02856     -2.98412    220.98   10.80538    0.00257     3.84      3.84      3.84      40.048    0.0         17.83    0.42798    
 7100        -3.03588    0.027       -3.00888    208.9    10.43392    0.00245     3.84      3.84      3.84      40.048    0.0         17.64    0.42056    
 7200        -3.04873    0.06184     -2.98689    478.4    10.68526    0.00247     3.84      3.84      3.84      40.048    0.0         26.38    0.4256     
 7300        -3.02518    0.02706     -2.99811    209.38   10.4755     0.00239     3.84      3.84      3.84      40.048    0.0         17.63    0.4214     
 7400        -3.03607    0.04627     -2.98979    358.0    10.58432    0.00238     3.84      3.84      3.84      40.048    0.0         22.93    0.42358    
 7500        -3.03527    0.0282      -3.00707    218.16   10.74661    0.00239     3.84      3.84      3.84      40.048    0.0         17.76    0.42682    
 7600        -3.02913    0.04026     -2.98887    311.44   10.62005    0.00233     3.84      3.84      3.84      40.048    0.0         21.35    0.4243     
 7700        -3.03503    0.03965     -2.99538    306.77   10.68283    0.00231     3.84      3.84      3.84      40.048    0.0         21.13    0.42555    
 7800        -3.0197     0.02667     -2.99302    206.35   10.48596    0.00224     3.84      3.84      3.84      40.048    0.0         17.49    0.42161    
 7900        -3.04537    0.05837     -2.98699    451.6    10.64099    0.00224     3.84      3.84      3.84      40.048    0.0         25.68    0.42471    
 8000        -3.02734    0.02746     -2.99989    212.41   10.65903    0.00222     3.84      3.84      3.84      40.048    0.0         17.6     0.42507    
 8100        -3.03566    0.04398     -2.99168    340.22   10.85113    0.00223     3.84      3.84      3.84      40.048    0.0         22.08    0.42889    
 8200        -3.03548    0.04431     -2.99117    342.77   10.81743    0.0022      3.84      3.84      3.84      40.048    0.0         22.19    0.42822    
 8300        -3.03561    0.05157     -2.98404    398.93   10.57257    0.00212     3.84      3.84      3.84      40.048    0.0         24.22    0.42335    
 8400        -3.01196    0.04281     -2.96915    331.2    10.51893    0.00209     3.84      3.84      3.84      40.048    0.0         22.12    0.42227    
 8500        -3.02256    0.02233     -3.00023    172.78   10.21343    0.002       3.84      3.84      3.84      40.048    0.0         16.22    0.41609    
 8600        -3.01946    0.03599     -2.98346    278.47   10.56768    0.00205     3.84      3.84      3.84      40.048    0.0         20.24    0.42325    
 8700        -3.02901    0.0299      -2.99911    231.33   10.48523    0.00201     3.84      3.84      3.84      40.048    0.0         18.52    0.42159    
 8800        -3.03535    0.03414     -3.0012     264.14   10.48273    0.00199     3.84      3.84      3.84      40.048    0.0         19.79    0.42154    
 8900        -3.03148    0.03571     -2.99577    276.25   10.61485    0.00199     3.84      3.84      3.84      40.048    0.0         20.11    0.42419    
 9000        -3.02396    0.04547     -2.97849    351.75   10.37034    0.00192     3.84      3.84      3.84      40.048    0.0         22.96    0.41928    
 9100        -3.04004    0.03165     -3.0084     244.82   10.68936    0.00196     3.84      3.84      3.84      40.048    0.0         18.87    0.42568    
 9200        -3.01501    0.01756     -2.99745    135.84   10.45436    0.00189     3.84      3.84      3.84      40.048    0.0         14.21    0.42097    
 9300        -3.03701    0.03161     -3.0054     244.55   10.69441    0.00192     3.84      3.84      3.84      40.048    0.0         18.85    0.42578    
 9400        -3.03008    0.05955     -2.97054    460.66   10.5169     0.00186     3.84      3.84      3.84      40.048    0.0         26.09    0.42223    
 9500        -3.03386    0.03073     -3.00312    237.77   10.34204    0.00181     3.84      3.84      3.84      40.048    0.0         18.9     0.41871    
 9600        -3.03036    0.019       -3.01136    147.01   10.58194    0.00184     3.84      3.84      3.84      40.048    0.0         14.7     0.42353    
 9700        -3.03882    0.01783     -3.02099    137.92   10.29927    0.00177     3.84      3.84      3.84      40.048    0.0         14.43    0.41784    
 9800        -3.03577    0.02909     -3.00668    225.05   10.35511    0.00176     3.84      3.84      3.84      40.048    0.0         18.38    0.41897    
 9900        -3.03486    0.04193     -2.99294    324.36   10.20098    0.00172     3.84      3.84      3.84      40.048    0.0         22.23    0.41584    
 10000       -3.02997    0.03274     -2.99724    253.27   10.40591    0.00173     3.84      3.84      3.84      40.048    0.0         19.45    0.42       
 10100       -3.03733    0.02421     -3.01312    187.32   10.12418    0.00167     3.84      3.84      3.84      40.048    0.0         16.96    0.41427    

Time averages:
             Epot        Ekin        Etot        Temp     MSD         Self_diff   Pressure    Spec_heat   DebyeT   Lindemann  
             eV/atom     eV/atom     eV/atom     K        Å^2         mm^2/s      GPa         J/(K*Kg)    K        1          
             -3.03358    0.03545     -2.99813    274.23   10.50384    0.00334     0.0         475.67267   19.9     0.42195    
