Material ID: Al_MTP_06_100_eq_2000_offset_2000_ranfor_10000
Unit cell composition: Al32
Material:  Al
Site positions of initial unit cell:
 Al          Al          Al          Al         
 0.00000     0.00000     2.02395     2.02395    
 0.00000     2.02395     0.00000     2.02395    
 0.00000     2.02395     2.02395     0.00000    
Properties:
 Time        Epot        Ekin        Etot        Temp     MSD         Self_diff   LC_a      LC_b      LC_c      Volume      Pressure    DebyeT   Lindemann 
 fs          eV/atom     eV/atom     eV/atom     K        Å^2         mm^2/s      Å         Å         Å         Å^3/atom    GPa        K        1          
 100         -3.69452    0.0329      -3.66162    254.51   0.00122     2e-05       4.048     4.048     4.048     16.582    0.0         1837.74  0.0061     
 200         -3.701      0.03965     -3.66135    306.76   0.00049     0.0         4.048     4.048     4.048     16.582    0.0         3179.68  0.00387    
 300         -3.69454    0.03296     -3.66158    255.0    0.00047     0.0         4.048     4.048     4.048     16.582    0.0         2963.71  0.00379    
 400         -3.69352    0.03481     -3.65871    269.32   0.00102     0.0         4.048     4.048     4.048     16.582    0.0         2063.01  0.00559    
 500         -3.687      0.0317      -3.65531    245.22   0.00041     0.0         4.048     4.048     4.048     16.582    0.0         3112.08  0.00354    
 600         -3.69515    0.04229     -3.65286    327.15   0.00117     0.0         4.048     4.048     4.048     16.582    0.0         2125.19  0.00598    
 700         -3.69892    0.04005     -3.65887    309.82   0.00036     0.0         4.048     4.048     4.048     16.582    0.0         3741.67  0.00331    
 800         -3.6968     0.04088     -3.65592    316.24   0.00068     0.0         4.048     4.048     4.048     16.582    0.0         2753.07  0.00454    
 900         -3.68955    0.03915     -3.6504     302.87   0.00087     0.0         4.048     4.048     4.048     16.582    0.0         2374.9   0.00515    
 1000        -3.69634    0.03832     -3.65802    296.42   0.00047     0.0         4.048     4.048     4.048     16.582    0.0         3199.1   0.00378    
 1100        -3.69177    0.03938     -3.65239    304.66   0.00106     0.0         4.048     4.048     4.048     16.582    0.0         2160.05  0.00568    
 1200        -3.6913     0.03517     -3.65613    272.08   0.00053     0.0         4.048     4.048     4.048     16.582    0.0         2879.32  0.00403    
 1300        -3.69528    0.03716     -3.65812    287.45   0.00089     0.0         4.048     4.048     4.048     16.582    0.0         2289.6   0.0052     
 1400        -3.69206    0.0314      -3.66066    242.93   0.00072     0.0         4.048     4.048     4.048     16.582    0.0         2335.66  0.00469    
 1500        -3.70272    0.04419     -3.65853    341.86   0.00051     0.0         4.048     4.048     4.048     16.582    0.0         3284.75  0.00396    
 1600        -3.69744    0.03497     -3.66248    270.51   0.00074     0.0         4.048     4.048     4.048     16.582    0.0         2427.24  0.00476    
 1700        -3.69526    0.03457     -3.66068    267.48   0.00064     0.0         4.048     4.048     4.048     16.582    0.0         2609.71  0.0044     
 1800        -3.69672    0.03304     -3.66368    255.64   0.00078     0.0         4.048     4.048     4.048     16.582    0.0         2299.48  0.00489    
