Material ID: Si_MTP_10_1_eq_2000_ranfor_10000
Unit cell composition: Si8
Material:  Si
Site positions of initial unit cell:
 Si         
 0.00000    
 0.00000    
 0.00000    
Properties:
 Time        Epot        Ekin        Etot        Temp     MSD         Self_diff   LC_a      LC_b      LC_c      Volume      Pressure    DebyeT   Lindemann 
 fs          eV/atom     eV/atom     eV/atom     K        Å^2         mm^2/s      Å         Å         Å         Å^3/atom    GPa        K        1          
 500         -36.82821   0.04521     -36.783     349.78   nan         nan         3.84      3.84      3.84      40.048    0.0         nan      nan        
 1000        -36.78933   0.03845     -36.75088   297.47   inf         inf         3.84      3.84      3.84      40.048    0.0         0.0      inf        
 1500        -36.78325   0.02102     -36.76222   162.63   inf         inf         3.84      3.84      3.84      40.048    0.0         0.0      inf        
 2000        -36.7458    0.01932     -36.72647   149.5    inf         inf         3.84      3.84      3.84      40.048    0.0         0.0      inf        
 2500        -36.77083   0.01893     -36.7519    146.45   inf         inf         3.84      3.84      3.84      40.048    0.0         0.0      inf        
 3000        -36.78071   0.0317      -36.74901   245.28   inf         inf         3.84      3.84      3.84      40.048    0.0         0.0      inf        
 3500        -36.77903   0.04121     -36.73783   318.81   inf         inf         3.84      3.84      3.84      40.048    0.0         0.0      inf        
 4000        -36.71302   0.02744     -36.68558   212.28   inf         inf         3.84      3.84      3.84      40.048    0.0         0.0      inf        
 4500        -36.8042    0.02565     -36.77855   198.4    inf         inf         3.84      3.84      3.84      40.048    0.0         0.0      inf        
 5000        -36.7669    0.02583     -36.74107   199.86   inf         inf         3.84      3.84      3.84      40.048    0.0         0.0      inf        
 5500        -36.78965   0.02537     -36.76429   196.25   inf         inf         3.84      3.84      3.84      40.048    0.0         0.0      inf        
 6000        -36.76352   0.02574     -36.73778   199.1    inf         inf         3.84      3.84      3.84      40.048    0.0         0.0      inf        
 6500        -36.78167   0.01588     -36.76579   122.84   inf         inf         3.84      3.84      3.84      40.048    0.0         0.0      inf        
 7000        -36.78306   0.0273      -36.75576   211.2    inf         inf         3.84      3.84      3.84      40.048    0.0         0.0      inf        
 7500        -36.78501   0.02876     -36.75626   222.46   inf         inf         3.84      3.84      3.84      40.048    0.0         0.0      inf        
 8000        -36.76521   0.02286     -36.74235   176.86   inf         inf         3.84      3.84      3.84      40.048    0.0         0.0      inf        
 8500        -36.77562   0.02001     -36.75562   154.79   inf         inf         3.84      3.84      3.84      40.048    0.0         0.0      inf        
 9000        -36.76903   0.022       -36.74702   170.24   inf         inf         3.84      3.84      3.84      40.048    0.0         0.0      inf        
 9500        -36.78943   0.02132     -36.76812   164.91   inf         inf         3.84      3.84      3.84      40.048    0.0         0.0      inf        
 10000       -36.78699   0.02277     -36.76422   176.17   inf         inf         3.84      3.84      3.84      40.048    0.0         0.0      inf        
 10500       -36.76964   0.02373     -36.74591   183.56   inf         inf         3.84      3.84      3.84      40.048    0.0         0.0      inf        
 11000       -36.79438   0.0455      -36.74888   351.98   inf         inf         3.84      3.84      3.84      40.048    0.0         0.0      inf        
 11500       -36.78208   0.02394     -36.75814   185.19   inf         inf         3.84      3.84      3.84      40.048    0.0         0.0      inf        
 12000       -36.77299   0.03229     -36.7407    249.78   inf         inf         3.84      3.84      3.84      40.048    0.0         0.0      inf        
 12500       -36.7673    0.01165     -36.75564   90.16    inf         inf         3.84      3.84      3.84      40.048    0.0         0.0      inf        
 13000       -36.75816   0.03573     -36.72244   276.39   inf         inf         3.84      3.84      3.84      40.048    0.0         0.0      inf        
 13500       -36.7741    0.01721     -36.75689   133.15   inf         inf         3.84      3.84      3.84      40.048    0.0         0.0      inf        
