Material ID: Al_MTP_06_1000_eq_2000_ranfor_10000
Unit cell composition: Al32
Material:  Al
Site positions of initial unit cell:
 Al          Al          Al          Al         
 0.00000     0.00000     2.02395     2.02395    
 0.00000     2.02395     0.00000     2.02395    
 0.00000     2.02395     2.02395     0.00000    
Properties:
 Time        Epot        Ekin        Etot        Temp     MSD         Self_diff   LC_a      LC_b      LC_c      Volume      Pressure    DebyeT   Lindemann 
 fs          eV/atom     eV/atom     eV/atom     K        Å^2         mm^2/s      Å         Å         Å         Å^3/atom    GPa        K        1          
 100         -3.72936    0.03711     -3.69225    287.09   0.0         0.0         4.048     4.048     4.048     16.582    0.0         inf      0.0        
 200         -3.69411    0.04942     -3.6447     382.3    0.02105     0.00018     4.048     4.048     4.048     16.582    0.0         542.1    0.02534    
 300         -3.69376    0.0387      -3.65506    299.41   0.02685     0.00015     4.048     4.048     4.048     16.582    0.0         424.76   0.02862    
 400         -3.7056     0.03084     -3.67476    238.59   0.01532     6e-05       4.048     4.048     4.048     16.582    0.0         501.91   0.02162    
 500         -3.6916     0.03665     -3.65495    283.53   0.0252      8e-05       4.048     4.048     4.048     16.582    0.0         426.65   0.02773    
 600         -3.68153    0.0517      -3.62983    399.96   0.03451     0.0001      4.048     4.048     4.048     16.582    0.0         433.06   0.03245    
 700         -3.69492    0.03856     -3.65636    298.3    0.02339     6e-05       4.048     4.048     4.048     16.582    0.0         454.29   0.02671    
 800         -3.69641    0.03324     -3.66317    257.18   0.02257     5e-05       4.048     4.048     4.048     16.582    0.0         429.41   0.02624    
 900         -3.69663    0.03327     -3.66337    257.36   0.02584     5e-05       4.048     4.048     4.048     16.582    0.0         401.43   0.02808    
 1000        -3.69183    0.04222     -3.64961    326.65   0.02679     4e-05       4.048     4.048     4.048     16.582    0.0         444.18   0.02859    
 1100        -3.69656    0.0375      -3.65906    290.09   0.02358     4e-05       4.048     4.048     4.048     16.582    0.0         446.14   0.02683    
 1200        -3.70059    0.04352     -3.65707    336.66   0.02247     3e-05       4.048     4.048     4.048     16.582    0.0         492.33   0.02619    
 1300        -3.69572    0.0356      -3.66012    275.45   0.022       3e-05       4.048     4.048     4.048     16.582    0.0         450.12   0.02591    
 1400        -3.68905    0.04828     -3.64077    373.53   0.02556     3e-05       4.048     4.048     4.048     16.582    0.0         486.23   0.02793    
 1500        -3.68223    0.03365     -3.64858    260.32   0.03032     3e-05       4.048     4.048     4.048     16.582    0.0         372.7    0.03042    
 1600        -3.69169    0.0479      -3.64379    370.57   0.02723     3e-05       4.048     4.048     4.048     16.582    0.0         469.24   0.02883    
 1700        -3.70202    0.03407     -3.66795    263.56   0.01838     2e-05       4.048     4.048     4.048     16.582    0.0         481.69   0.02368    
 1800        -3.69792    0.03936     -3.65856    304.48   0.02154     2e-05       4.048     4.048     4.048     16.582    0.0         478.25   0.02564    
 1900        -3.68716    0.03604     -3.65111    278.82   0.02741     2e-05       4.048     4.048     4.048     16.582    0.0         405.68   0.02892    
 2000        -3.69069    0.03473     -3.65596    268.69   0.02586     2e-05       4.048     4.048     4.048     16.582    0.0         410.0    0.02809    
 2100        -3.69436    0.03088     -3.66348    238.91   0.02763     2e-05       4.048     4.048     4.048     16.582    0.0         374.01   0.02904    
 2200        -3.68892    0.04077     -3.64815    315.41   0.03153     2e-05       4.048     4.048     4.048     16.582    0.0         402.32   0.03102    
 2300        -3.6829     0.02842     -3.65448    219.86   0.03318     2e-05       4.048     4.048     4.048     16.582    0.0         327.43   0.03182    
 2400        -3.68579    0.02405     -3.66175    186.04   0.02892     2e-05       4.048     4.048     4.048     16.582    0.0         322.64   0.0297     
 2500        -3.69939    0.03504     -3.66435    271.05   0.02295     2e-05       4.048     4.048     4.048     16.582    0.0         437.15   0.02646    
 2600        -3.69434    0.02948     -3.66486    228.1    0.02269     1e-05       4.048     4.048     4.048     16.582    0.0         403.33   0.02631    
 2700        -3.69238    0.03341     -3.65897    258.47   0.02384     1e-05       4.048     4.048     4.048     16.582    0.0         418.88   0.02697    
 2800        -3.69118    0.03713     -3.65405    287.27   0.02639     2e-05       4.048     4.048     4.048     16.582    0.0         419.64   0.02838    
 2900        -3.6916     0.03302     -3.65858    255.44   0.02444     1e-05       4.048     4.048     4.048     16.582    0.0         411.24   0.02731    
 3000        -3.68774    0.03938     -3.64836    304.64   0.02823     2e-05       4.048     4.048     4.048     16.582    0.0         417.83   0.02935    
 3100        -3.70047    0.032       -3.66847    247.55   0.02019     1e-05       4.048     4.048     4.048     16.582    0.0         445.39   0.02482    
 3200        -3.69049    0.04074     -3.64975    315.17   0.03069     2e-05       4.048     4.048     4.048     16.582    0.0         407.61   0.0306     
 3300        -3.69758    0.04686     -3.65072    362.49   0.02498     1e-05       4.048     4.048     4.048     16.582    0.0         484.61   0.02761    
 3400        -3.69421    0.03297     -3.66125    255.03   0.02403     1e-05       4.048     4.048     4.048     16.582    0.0         414.43   0.02708    
 3500        -3.69316    0.03386     -3.6593     261.96   0.02405     1e-05       4.048     4.048     4.048     16.582    0.0         419.81   0.02709    
 3600        -3.68331    0.03768     -3.64563    291.49   0.02575     1e-05       4.048     4.048     4.048     16.582    0.0         427.95   0.02803    
 3700        -3.68702    0.04424     -3.64278    342.24   0.03106     1e-05       4.048     4.048     4.048     16.582    0.0         422.26   0.03078    
 3800        -3.69697    0.0444      -3.65257    343.49   0.02084     1e-05       4.048     4.048     4.048     16.582    0.0         516.38   0.02522    
 3900        -3.68963    0.0424      -3.64723    327.99   0.02805     1e-05       4.048     4.048     4.048     16.582    0.0         434.95   0.02926    
 4000        -3.68748    0.03806     -3.64942    294.43   0.0297      1e-05       4.048     4.048     4.048     16.582    0.0         400.51   0.0301     
 4100        -3.69357    0.02936     -3.66421    227.14   0.02415     1e-05       4.048     4.048     4.048     16.582    0.0         390.13   0.02714    
 4200        -3.69042    0.03885     -3.65157    300.54   0.02846     1e-05       4.048     4.048     4.048     16.582    0.0         413.4    0.02947    
 4300        -3.69827    0.03826     -3.66       296.02   0.02396     1e-05       4.048     4.048     4.048     16.582    0.0         447.13   0.02704    
 4400        -3.68859    0.04022     -3.64837    311.19   0.02878     1e-05       4.048     4.048     4.048     16.582    0.0         418.29   0.02963    
 4500        -3.69567    0.04348     -3.65218    336.41   0.02376     1e-05       4.048     4.048     4.048     16.582    0.0         478.6    0.02693    
 4600        -3.69544    0.0444      -3.65104    343.49   0.02647     1e-05       4.048     4.048     4.048     16.582    0.0         458.23   0.02842    
 4700        -3.68598    0.034       -3.65198    263.06   0.03235     1e-05       4.048     4.048     4.048     16.582    0.0         362.71   0.03142    
 4800        -3.69132    0.03885     -3.65247    300.54   0.03104     1e-05       4.048     4.048     4.048     16.582    0.0         395.81   0.03078    
