Material ID: Al_MTP_06_100_eq_2000_offset_2000_ranfor_10000
Unit cell composition: Al32
Material:  Al
Site positions of initial unit cell:
 Al          Al          Al          Al         
 0.00000     0.00000     2.02395     2.02395    
 0.00000     2.02395     0.00000     2.02395    
 0.00000     2.02395     2.02395     0.00000    
Properties:
 Time        Epot        Ekin        Etot        Temp     MSD         Self_diff   LC_a      LC_b      LC_c      Volume      Pressure    DebyeT   Lindemann 
 fs          eV/atom     eV/atom     eV/atom     K        Å^2         mm^2/s      Å         Å         Å         Å^3/atom    GPa        K        1          
 100         -3.69693    0.03719     -3.65975    287.69   0.00121     2e-05       4.048     4.048     4.048     16.582    0.0         1959.26  0.00608    
 200         -3.69147    0.03424     -3.65724    264.87   0.00059     0.0         4.048     4.048     4.048     16.582    0.0         2697.13  0.00424    
 300         -3.69166    0.03458     -3.65708    267.51   0.00068     0.0         4.048     4.048     4.048     16.582    0.0         2523.59  0.00455    
 400         -3.69674    0.03579     -3.66095    276.91   0.00089     0.0         4.048     4.048     4.048     16.582    0.0         2243.92  0.00521    
 500         -3.6999     0.03693     -3.66297    285.71   0.00036     0.0         4.048     4.048     4.048     16.582    0.0         3570.65  0.00333    
 600         -3.6995     0.04326     -3.65624    334.7    0.00107     0.0         4.048     4.048     4.048     16.582    0.0         2247.69  0.00572    
 700         -3.6911     0.03454     -3.65655    267.25   0.00048     0.0         4.048     4.048     4.048     16.582    0.0         2987.56  0.00384    
 800         -3.69939    0.04026     -3.65913    311.48   0.00085     0.0         4.048     4.048     4.048     16.582    0.0         2434.33  0.00509    
 900         -3.69418    0.03374     -3.66044    261.03   0.00073     0.0         4.048     4.048     4.048     16.582    0.0         2402.51  0.00473    
 1000        -3.69839    0.04003     -3.65836    309.65   0.00054     0.0         4.048     4.048     4.048     16.582    0.0         3053.41  0.00405    
 1100        -3.69141    0.03707     -3.65434    286.79   0.00097     0.0         4.048     4.048     4.048     16.582    0.0         2184.18  0.00545    
 1200        -3.6939     0.04192     -3.65197    324.35   0.00061     0.0         4.048     4.048     4.048     16.582    0.0         2925.02  0.00433    
 1300        -3.6908     0.03119     -3.65961    241.3    0.00096     0.0         4.048     4.048     4.048     16.582    0.0         2012.83  0.00542    
 1400        -3.69132    0.03709     -3.65423    286.96   0.00062     0.0         4.048     4.048     4.048     16.582    0.0         2741.07  0.00434    
 1500        -3.69157    0.04009     -3.65148    310.14   0.00086     0.0         4.048     4.048     4.048     16.582    0.0         2415.11  0.00512    
 1600        -3.69279    0.0461      -3.64669    356.62   0.00086     0.0         4.048     4.048     4.048     16.582    0.0         2588.99  0.00513    
 1700        -3.69329    0.04828     -3.645      373.53   0.00082     0.0         4.048     4.048     4.048     16.582    0.0         2720.83  0.00499    
 1800        -3.6948     0.05251     -3.64229    406.26   0.00075     0.0         4.048     4.048     4.048     16.582    0.0         2953.69  0.0048     
 1900        -3.68561    0.04397     -3.64165    340.16   0.00073     0.0         4.048     4.048     4.048     16.582    0.0         2736.66  0.00474    
 2000        -3.68105    0.03496     -3.64609    270.44   0.00094     0.0         4.048     4.048     4.048     16.582    0.0         2157.28  0.00536    
 2100        -3.68662    0.04223     -3.64439    326.67   0.00058     0.0         4.048     4.048     4.048     16.582    0.0         3025.27  0.0042     
 2200        -3.68803    0.04075     -3.64728    315.29   0.001       0.0         4.048     4.048     4.048     16.582    0.0         2262.56  0.00551    
 2300        -3.69436    0.04205     -3.65231    325.32   0.00075     0.0         4.048     4.048     4.048     16.582    0.0         2647.56  0.00479    
 2400        -3.69146    0.03426     -3.6572     265.06   0.00067     0.0         4.048     4.048     4.048     16.582    0.0         2536.74  0.00451    
 2500        -3.69542    0.03761     -3.65781    290.97   0.00079     0.0         4.048     4.048     4.048     16.582    0.0         2437.56  0.00492    
 2600        -3.7009     0.0434      -3.6575     335.8    0.0006      0.0         4.048     4.048     4.048     16.582    0.0         3007.64  0.00428    
 2700        -3.70173    0.04557     -3.65616    352.57   0.00077     0.0         4.048     4.048     4.048     16.582    0.0         2718.47  0.00485    
 2800        -3.69904    0.04395     -3.65509    340.02   0.00068     0.0         4.048     4.048     4.048     16.582    0.0         2839.41  0.00456    
 2900        -3.6968     0.03389     -3.66291    262.21   0.00064     0.0         4.048     4.048     4.048     16.582    0.0         2568.42  0.00443    
 3000        -3.69416    0.02801     -3.66615    216.71   0.00084     0.0         4.048     4.048     4.048     16.582    0.0         2038.97  0.00507    
 3100        -3.69905    0.03453     -3.66452    267.14   0.00063     0.0         4.048     4.048     4.048     16.582    0.0         2615.94  0.00439    
 3200        -3.69833    0.03542     -3.66292    273.99   0.0007      0.0         4.048     4.048     4.048     16.582    0.0         2524.66  0.00461    
 3300        -3.70436    0.04347     -3.66088    336.31   0.00066     0.0         4.048     4.048     4.048     16.582    0.0         2872.38  0.00449    
 3400        -3.6993     0.03459     -3.66471    267.62   0.00066     0.0         4.048     4.048     4.048     16.582    0.0         2560.72  0.00449    
 3500        -3.69681    0.03525     -3.66156    272.68   0.00076     0.0         4.048     4.048     4.048     16.582    0.0         2409.93  0.00481    
 3600        -3.69832    0.03967     -3.65865    306.9    0.00066     0.0         4.048     4.048     4.048     16.582    0.0         2753.21  0.00447    
 3700        -3.69424    0.0352      -3.65904    272.3    0.00067     0.0         4.048     4.048     4.048     16.582    0.0         2570.7   0.00451    
 3800        -3.69428    0.03522     -3.65906    272.48   0.00072     0.0         4.048     4.048     4.048     16.582    0.0         2476.35  0.00468    
