Material ID: Al_DFT
Unit cell composition: Al32
Material:  Al
Site positions of initial unit cell:
 Al          Al          Al          Al         
 0.00000     0.00000     2.02010     2.02010    
 0.00000     2.02010     0.00000     2.02010    
 0.00000     2.02010     2.02010     0.00000    
Properties:
 Time        Epot        Ekin        Etot        Temp     MSD         Self_diff   LC_a      LC_b      LC_c      Volume      Pressure    DebyeT   Lindemann 
 fs          eV/atom     eV/atom     eV/atom     K        Å^2         mm^2/s      Å         Å         Å         Å^3/atom    GPa        K        1          
 100         -3.72598    0.03544     -3.69055    274.15   0.0         0.0         4.04      4.04      4.04      16.487    -0.83281    inf      0.0        
 200         -3.65433    0.03452     -3.61981    267.09   23.96617    0.19972     4.04      4.04      4.04      16.487    -3.6341     13.43    0.8568     
 300         -3.70391    0.03734     -3.66657    288.9    26.12227    0.14512     4.04      4.04      4.04      16.487    -1.54596    13.38    0.89451    
 400         -3.69191    0.03395     -3.65796    262.68   28.156      0.11732     4.04      4.04      4.04      16.487    -2.09894    12.29    0.92868    
 500         -3.6773     0.04072     -3.63659    315.01   19.76359    0.06588     4.04      4.04      4.04      16.487    -2.65156    16.06    0.77806    
 600         -3.71122    0.03781     -3.67341    292.49   28.32475    0.07868     4.04      4.04      4.04      16.487    -1.38555    12.93    0.93146    
 700         -3.69394    0.0431      -3.65084    333.44   24.15585    0.05751     4.04      4.04      4.04      16.487    -2.02162    14.94    0.86019    
 800         -3.69044    0.0359      -3.65454    277.73   23.95767    0.04991     4.04      4.04      4.04      16.487    -2.14578    13.7     0.85665    
 900         -3.69675    0.03593     -3.66081    277.98   18.07098    0.03346     4.04      4.04      4.04      16.487    -1.76722    15.78    0.744      
 1000        -3.69438    0.03639     -3.65799    281.5    28.02936    0.04672     4.04      4.04      4.04      16.487    -1.86702    12.75    0.92659    
 1100        -3.6725     0.0467      -3.6258     361.29   23.91336    0.03623     4.04      4.04      4.04      16.487    -2.57852    15.64    0.85586    
 1200        -3.69374    0.02853     -3.66521    220.69   19.77402    0.02746     4.04      4.04      4.04      16.487    -1.75366    13.44    0.77827    
 1300        -3.6997     0.03601     -3.66369    278.58   20.2302     0.02594     4.04      4.04      4.04      16.487    -1.60152    14.93    0.78719    
 1400        -3.67404    0.04995     -3.62409    386.44   25.80024    0.03071     4.04      4.04      4.04      16.487    -2.51865    15.57    0.88898    
 1500        -3.70047    0.04299     -3.65748    332.57   22.095      0.02455     4.04      4.04      4.04      16.487    -1.63517    15.61    0.82268    
 1600        -3.68938    0.04305     -3.64633    333.07   29.90338    0.03115     4.04      4.04      4.04      16.487    -1.99417    13.42    0.95707    
 1700        -3.68398    0.04932     -3.63466    381.56   20.14578    0.01975     4.04      4.04      4.04      16.487    -2.20514    17.51    0.78555    
 1800        -3.69402    0.03911     -3.65491    302.57   24.09717    0.02231     4.04      4.04      4.04      16.487    -1.90498    14.25    0.85914    
 1900        -3.69661    0.04155     -3.65507    321.43   21.98164    0.01928     4.04      4.04      4.04      16.487    -1.84959    15.38    0.82056    
 2000        -3.69054    0.03567     -3.65487    275.93   20.01484    0.01668     4.04      4.04      4.04      16.487    -1.96635    14.94    0.78299    
 2100        -3.69907    0.04748     -3.6516     367.3    32.12677    0.0255      4.04      4.04      4.04      16.487    -1.76648    13.6     0.99201    
 2200        -3.70161    0.04836     -3.65325    374.15   26.2082     0.01985     4.04      4.04      4.04      16.487    -1.61358    15.2     0.89598    
 2300        -3.67951    0.03405     -3.64546    263.45   32.04238    0.02322     4.04      4.04      4.04      16.487    -2.35423    11.53    0.99071    
 2400        -3.68708    0.03056     -3.65651    236.43   20.12794    0.01398     4.04      4.04      4.04      16.487    -2.12535    13.79    0.7852     
 2500        -3.69407    0.04283     -3.65124    331.34   19.89142    0.01326     4.04      4.04      4.04      16.487    -1.97747    16.42    0.78058    
 2600        -3.69537    0.03795     -3.65741    293.63   22.14704    0.0142      4.04      4.04      4.04      16.487    -1.80837    14.65    0.82364    
 2700        -3.69424    0.0449      -3.64934    347.37   22.0786     0.01363     4.04      4.04      4.04      16.487    -1.8443     15.96    0.82237    
 2800        -3.69111    0.03462     -3.65648    267.86   22.08645    0.01315     4.04      4.04      4.04      16.487    -1.86436    14.01    0.82252    
 2900        -3.69653    0.04086     -3.65567    316.11   26.21122    0.01506     4.04      4.04      4.04      16.487    -1.70705    13.97    0.89604    
 3000        -3.68892    0.04419     -3.64473    341.89   19.91614    0.01106     4.04      4.04      4.04      16.487    -2.08953    16.67    0.78106    
 3100        -3.69182    0.04164     -3.65017    322.17   22.07277    0.01187     4.04      4.04      4.04      16.487    -1.8552     15.37    0.82226    
 3200        -3.69698    0.03582     -3.66115    277.14   20.00961    0.01042     4.04      4.04      4.04      16.487    -1.78455    14.97    0.78289    
 3300        -3.68957    0.0454      -3.64417    351.22   20.07323    0.01014     4.04      4.04      4.04      16.487    -2.01282    16.83    0.78413    
 3400        -3.7        0.03293     -3.66708    254.74   22.06131    0.01081     4.04      4.04      4.04      16.487    -1.66315    13.67    0.82205    
 3500        -3.68813    0.04158     -3.64655    321.68   27.89384    0.01328     4.04      4.04      4.04      16.487    -2.10049    13.66    0.92435    
 3600        -3.69553    0.04081     -3.65473    315.68   20.13249    0.00932     4.04      4.04      4.04      16.487    -1.82013    15.93    0.78529    
 3700        -3.69416    0.04472     -3.64944    345.96   19.95299    0.00899     4.04      4.04      4.04      16.487    -1.83804    16.75    0.78178    
 3800        -3.68949    0.03179     -3.6577     245.93   22.11175    0.0097      4.04      4.04      4.04      16.487    -1.99021    13.41    0.82299    
 3900        -3.6979     0.03362     -3.66427    260.12   21.94293    0.00938     4.04      4.04      4.04      16.487    -1.7114     13.85    0.81984    
 4000        -3.69875    0.03512     -3.66363    271.73   20.09275    0.00837     4.04      4.04      4.04      16.487    -1.60761    14.79    0.78452    
 4100        -3.69502    0.04047     -3.65455    313.06   26.08069    0.0106      4.04      4.04      4.04      16.487    -1.87985    13.94    0.8938     
 4200        -3.69021    0.03955     -3.65065    305.99   25.94694    0.0103      4.04      4.04      4.04      16.487    -1.9432     13.81    0.89151    
 4300        -3.69381    0.04221     -3.6516     326.57   17.88085    0.00693     4.04      4.04      4.04      16.487    -1.91984    17.19    0.74008    
 4400        -3.68645    0.03717     -3.64928    287.56   32.16344    0.01218     4.04      4.04      4.04      16.487    -2.12671    12.03    0.99258    
 4500        -3.68343    0.0463      -3.63713    358.22   20.10313    0.00745     4.04      4.04      4.04      16.487    -2.17322    16.98    0.78472    
 4600        -3.68541    0.03624     -3.64917    280.38   25.98401    0.00941     4.04      4.04      4.04      16.487    -2.10353    13.21    0.89214    
 4700        -3.68851    0.03074     -3.65777    237.82   22.18025    0.00787     4.04      4.04      4.04      16.487    -1.91385    13.17    0.82426    
 4800        -3.69447    0.03667     -3.6578     283.71   34.19951    0.01187     4.04      4.04      4.04      16.487    -1.79788    11.59    1.02351    
 4900        -3.68512    0.03499     -3.65013    270.69   22.16764    0.00754     4.04      4.04      4.04      16.487    -2.21913    14.06    0.82403    
 5000        -3.70101    0.04524     -3.65577    350.0    24.09337    0.00803     4.04      4.04      4.04      16.487    -1.62718    15.33    0.85907    
 5100        -3.69441    0.03681     -3.6576     284.75   18.1423     0.00593     4.04      4.04      4.04      16.487    -1.84276    15.94    0.74547    
 5200        -3.67995    0.04583     -3.63413    354.52   28.09927    0.00901     4.04      4.04      4.04      16.487    -2.32053    14.29    0.92775    
 5300        -3.69598    0.0385      -3.65748    297.85   24.08128    0.00757     4.04      4.04      4.04      16.487    -1.80385    14.15    0.85886    
 5400        -3.702      0.03813     -3.66387    295.01   26.17719    0.00808     4.04      4.04      4.04      16.487    -1.55495    13.5     0.89545    
 5500        -3.67308    0.03503     -3.63805    271.01   23.88419    0.00724     4.04      4.04      4.04      16.487    -2.53386    13.55    0.85534    
 5600        -3.69647    0.03411     -3.66236    263.91   19.99427    0.00595     4.04      4.04      4.04      16.487    -1.80027    14.61    0.78259    
 5700        -3.69632    0.03524     -3.66108    272.65   28.10569    0.00822     4.04      4.04      4.04      16.487    -1.85256    12.53    0.92785    
 5800        -3.67961    0.0483      -3.63131    373.65   24.00779    0.0069      4.04      4.04      4.04      16.487    -2.45527    15.87    0.85755    
 5900        -3.69546    0.03797     -3.6575     293.72   32.11691    0.00907     4.04      4.04      4.04      16.487    -1.85535    12.16    0.99186    
 6000        -3.69677    0.04232     -3.65445    327.37   24.20741    0.00672     4.04      4.04      4.04      16.487    -1.78232    14.79    0.86111    
 6100        -3.69002    0.04328     -3.64675    334.82   29.9424     0.00818     4.04      4.04      4.04      16.487    -1.9433     13.45    0.95769    
 6200        -3.68872    0.04449     -3.64423    344.2    22.07889    0.00594     4.04      4.04      4.04      16.487    -2.05369    15.88    0.82238    
 6300        -3.69903    0.03289     -3.66614    254.48   26.10248    0.00691     4.04      4.04      4.04      16.487    -1.64727    12.56    0.89418    
 6400        -3.68755    0.04659     -3.64096    360.41   21.98705    0.00573     4.04      4.04      4.04      16.487    -2.1919     16.29    0.82066    
 6500        -3.69404    0.04452     -3.64953    344.4    30.07656    0.00771     4.04      4.04      4.04      16.487    -1.83687    13.61    0.95983    
 6600        -3.69662    0.03839     -3.65823    296.98   24.16605    0.0061      4.04      4.04      4.04      16.487    -1.88444    14.1     0.86037    
 6700        -3.69116    0.04631     -3.64484    358.29   32.08801    0.00798     4.04      4.04      4.04      16.487    -1.95227    13.44    0.99141    
 6800        -3.69707    0.03442     -3.66265    266.25   26.10874    0.0064      4.04      4.04      4.04      16.487    -1.85386    12.85    0.89428    
 6900        -3.69463    0.04771     -3.64692    369.1    26.02324    0.00629     4.04      4.04      4.04      16.487    -1.86341    15.15    0.89282    
 7000        -3.69124    0.03286     -3.65838    254.19   24.06194    0.00573     4.04      4.04      4.04      16.487    -1.94797    13.07    0.85851    
 7100        -3.68611    0.03885     -3.64726    300.55   22.07097    0.00518     4.04      4.04      4.04      16.487    -2.10248    14.84    0.82223    
 7200        -3.69397    0.03389     -3.66008    262.16   27.92913    0.00647     4.04      4.04      4.04      16.487    -1.77443    12.32    0.92493    
 7300        -3.68732    0.0424      -3.64493    328.01   18.10631    0.00413     4.04      4.04      4.04      16.487    -2.0148     17.12    0.74473    
 7400        -3.69089    0.04085     -3.65004    316.05   26.03985    0.00586     4.04      4.04      4.04      16.487    -2.04283    14.01    0.8931     
 7500        -3.6976     0.03761     -3.65998    290.99   18.20284    0.00405     4.04      4.04      4.04      16.487    -1.74375    16.08    0.74671    
 7600        -3.68531    0.0403      -3.64501    311.77   29.87207    0.00655     4.04      4.04      4.04      16.487    -2.11445    13.0     0.95657    
 7700        -3.6928     0.04332     -3.64948    335.11   22.11597    0.00479     4.04      4.04      4.04      16.487    -1.94315    15.66    0.82307    
 7800        -3.69207    0.03782     -3.65424    292.61   21.93419    0.00469     4.04      4.04      4.04      16.487    -2.0424     14.69    0.81968    
 7900        -3.69429    0.0428      -3.65149    331.08   24.11813    0.00509     4.04      4.04      4.04      16.487    -1.98378    14.9     0.85952    
 8000        -3.69524    0.047       -3.64824    363.58   22.03973    0.00459     4.04      4.04      4.04      16.487    -1.89548    16.34    0.82165    
 8100        -3.69082    0.03929     -3.65154    303.93   23.98676    0.00494     4.04      4.04      4.04      16.487    -2.01328    14.32    0.85717    
 8200        -3.69667    0.03695     -3.65972    285.89   26.15356    0.00532     4.04      4.04      4.04      16.487    -1.7918     13.3     0.89505    
 8300        -3.69556    0.04344     -3.65212    336.09   19.93428    0.004       4.04      4.04      4.04      16.487    -1.87906    16.52    0.78142    
 8400        -3.69207    0.04373     -3.64834    338.3    26.17124    0.00519     4.04      4.04      4.04      16.487    -1.94194    14.46    0.89535    
 8500        -3.68139    0.03915     -3.64223    302.91   23.90838    0.00469     4.04      4.04      4.04      16.487    -2.25235    14.32    0.85577    
 8600        -3.68614    0.03797     -3.64817    293.74   26.14803    0.00507     4.04      4.04      4.04      16.487    -2.13109    13.48    0.89496    
 8700        -3.69264    0.0423      -3.65035    327.21   28.18864    0.0054      4.04      4.04      4.04      16.487    -2.00101    13.7     0.92922    
 8800        -3.69092    0.03274     -3.65818    253.32   20.01409    0.00379     4.04      4.04      4.04      16.487    -2.01524    14.31    0.78298    
 8900        -3.69273    0.04647     -3.64626    359.5    24.20234    0.00453     4.04      4.04      4.04      16.487    -1.93683    15.5     0.86102    
 9000        -3.69422    0.05089     -3.64332    393.73   21.91617    0.00406     4.04      4.04      4.04      16.487    -1.83174    17.05    0.81934    
 9100        -3.6918     0.0403      -3.65149    311.81   24.01982    0.0044      4.04      4.04      4.04      16.487    -1.89418    14.49    0.85776    
 9200        -3.68926    0.04072     -3.64854    315.03   32.18443    0.00583     4.04      4.04      4.04      16.487    -2.07999    12.58    0.9929     
 9300        -3.68848    0.03792     -3.65056    293.38   24.10948    0.00432     4.04      4.04      4.04      16.487    -2.09133    14.03    0.85936    
 9400        -3.69007    0.05089     -3.63919    393.67   28.16852    0.00499     4.04      4.04      4.04      16.487    -2.01297    15.04    0.92889    
 9500        -3.69368    0.046       -3.64767    355.91   22.07015    0.00387     4.04      4.04      4.04      16.487    -1.77764    16.15    0.82221    
 9600        -3.69643    0.0366      -3.65983    283.16   30.1134     0.00523     4.04      4.04      4.04      16.487    -1.78001    12.33    0.96042    
 9700        -3.70064    0.02831     -3.67233    219.04   22.08306    0.00379     4.04      4.04      4.04      16.487    -1.66112    12.67    0.82245    
 9800        -3.69373    0.04064     -3.65309    314.38   20.0007     0.0034      4.04      4.04      4.04      16.487    -1.86744    15.95    0.78272    
 9900        -3.68653    0.03178     -3.65475    245.89   24.11785    0.00406     4.04      4.04      4.04      16.487    -2.1519     12.84    0.85951    
 10000       -3.68653    0.0382      -3.64832    295.55   21.96072    0.00366     4.04      4.04      4.04      16.487    -2.10085    14.76    0.82017    

Time averages:
             Epot        Ekin        Etot        Temp     MSD         Self_diff   Pressure    Spec_heat   DebyeT   Lindemann  
             eV/atom     eV/atom     eV/atom     K        Å^2         mm^2/s      GPa         J/(K*Kg)    K        1          
             -3.69194    0.03976     -3.65219    307.57   23.91814    0.01706     -1.95043    484.08495   14.31    0.84908    
