Material ID: Al_DFT_eq_0
Unit cell composition: Al32
Material:  Al
Site positions of initial unit cell:
 Al          Al          Al          Al         
 0.00000     0.00000     2.02010     2.02010    
 0.00000     2.02010     0.00000     2.02010    
 0.00000     2.02010     2.02010     0.00000    
Properties:
 Time        Epot        Ekin        Etot        Temp     MSD         Self_diff   LC_a      LC_b      LC_c      Volume      Pressure    DebyeT   Lindemann 
 fs          eV/atom     eV/atom     eV/atom     K        Å^2         mm^2/s      Å         Å         Å         Å^3/atom    GPa        K        1          
 500         -3.72598    0.03438     -3.6916     265.97   0.0         0.0         4.04      4.04      4.04      16.487    -0.83281    inf      0.0        
 1000        -3.65433    0.03774     -3.61659    292.0    0.00112     0.0         4.04      4.04      4.04      16.487    -3.6341     2057.92  0.00585    
 1500        -3.70391    0.03577     -3.66814    276.73   0.00026     0.0         4.04      4.04      4.04      16.487    -1.54596    4146.17  0.00282    
 2000        -3.69191    0.03669     -3.65523    283.83   0.00045     0.0         4.04      4.04      4.04      16.487    -2.09894    3186.48  0.00372    
 2500        -3.6773     0.03451     -3.64279    267.0    0.0006      0.0         4.04      4.04      4.04      16.487    -2.65156    2684.57  0.00429    
 3000        -3.71122    0.0351      -3.67611    271.58   0.00016     0.0         4.04      4.04      4.04      16.487    -1.38555    5207.63  0.00223    
 3500        -3.69394    0.04532     -3.64863    350.57   0.0004      0.0         4.04      4.04      4.04      16.487    -2.02162    3781.25  0.00349    
 4000        -3.69044    0.04352     -3.64692    336.67   0.00045     0.0         4.04      4.04      4.04      16.487    -2.14578    3465.14  0.00373    
 4500        -3.69675    0.03064     -3.6661     237.07   0.00027     0.0         4.04      4.04      4.04      16.487    -1.76722    3758.32  0.00288    
 5000        -3.69438    0.04375     -3.65063    338.43   0.00028     0.0         4.04      4.04      4.04      16.487    -1.86702    4417.9   0.00293    
 5500        -3.6725     0.03888     -3.63362    300.8    0.00049     0.0         4.04      4.04      4.04      16.487    -2.57852    3147.49  0.00388    
 6000        -3.69374    0.0389      -3.65484    300.95   0.00032     0.0         4.04      4.04      4.04      16.487    -1.75366    3923.87  0.00311    
 6500        -3.6997     0.03455     -3.66515    267.27   0.00024     0.0         4.04      4.04      4.04      16.487    -1.60152    4221.5   0.00273    
 7000        -3.67404    0.03443     -3.63961    266.34   0.00059     0.0         4.04      4.04      4.04      16.487    -2.51865    2694.8   0.00426    
 7500        -3.70047    0.03013     -3.67034    233.1    0.00031     0.0         4.04      4.04      4.04      16.487    -1.63517    3475.42  0.00309    
