Material ID: Al_MTP_06_1000_eq_0_offset_0_ranfor_10000
Unit cell composition: Al32
Material:  Al
Site positions of initial unit cell:
 Al          Al          Al          Al         
 0.00000     0.00000     2.02395     2.02395    
 0.00000     2.02395     0.00000     2.02395    
 0.00000     2.02395     2.02395     0.00000    
Properties:
 Time        Epot        Ekin        Etot        Temp     MSD         Self_diff   LC_a      LC_b      LC_c      Volume      Pressure    DebyeT   Lindemann 
 fs          eV/atom     eV/atom     eV/atom     K        Å^2         mm^2/s      Å         Å         Å         Å^3/atom    GPa        K        1          
 100         -3.72929    0.03718     -3.69211    287.64   0.0         0.0         4.048     4.048     4.048     16.582    0.0         0        0.0        
 200         -3.70973    0.01959     -3.69014    151.52   0.00021     0.0         4.048     4.048     4.048     16.582    0.0         3426.8   0.00252    
 300         -3.7052     0.0186      -3.68659    143.92   0.00029     0.0         4.048     4.048     4.048     16.582    0.0         2835.76  0.00297    
 400         -3.69686    0.01317     -3.68369    101.92   0.00034     0.0         4.048     4.048     4.048     16.582    0.0         2218.22  0.0032     
 500         -3.70576    0.02799     -3.67778    216.52   0.00023     0.0         4.048     4.048     4.048     16.582    0.0         3882.15  0.00266    
 600         -3.70628    0.02479     -3.68149    191.77   0.00022     0.0         4.048     4.048     4.048     16.582    0.0         3787.9   0.00257    
 700         -3.7026     0.02292     -3.67968    177.31   0.00029     0.0         4.048     4.048     4.048     16.582    0.0         3121.85  0.003      
 800         -3.70505    0.02405     -3.681      186.05   0.00029     0.0         4.048     4.048     4.048     16.582    0.0         3236.94  0.00296    
 900         -3.70567    0.0267      -3.67897    206.58   0.0003      0.0         4.048     4.048     4.048     16.582    0.0         3352.09  0.00301    
 1000        -3.70418    0.02856     -3.67563    220.93   0.00029     0.0         4.048     4.048     4.048     16.582    0.0         3486.66  0.003      
 1100        -3.69799    0.02904     -3.66896    224.64   0.00029     0.0         4.048     4.048     4.048     16.582    0.0         3533.81  0.00298    
 1200        -3.70151    0.031       -3.6705     239.84   0.00031     0.0         4.048     4.048     4.048     16.582    0.0         3555.88  0.00306    
 1300        -3.68917    0.02346     -3.66571    181.48   0.00042     0.0         4.048     4.048     4.048     16.582    0.0         2654.37  0.00357    
 1400        -3.70119    0.03728     -3.66391    288.43   0.00028     0.0         4.048     4.048     4.048     16.582    0.0         4051.0   0.00295    
 1500        -3.69559    0.03341     -3.66218    258.48   0.00037     0.0         4.048     4.048     4.048     16.582    0.0         3355.48  0.00337    
