Material ID: Al_MTP_06_100_eq_0_ranfor_1000
Unit cell composition: Al32
Material:  Al
Site positions of initial unit cell:
 Al          Al          Al          Al         
 0.00000     0.00000     2.02395     2.02395    
 0.00000     2.02395     0.00000     2.02395    
 0.00000     2.02395     2.02395     0.00000    
Properties:
 Time        Epot        Ekin        Etot        Temp     MSD         Self_diff   LC_a      LC_b      LC_c      Volume      Pressure    DebyeT   Lindemann 
 fs          eV/atom     eV/atom     eV/atom     K        Å^2         mm^2/s      Å         Å         Å         Å^3/atom    GPa        K        1          
 100         -3.72864    0.04338     -3.68526    335.58   0.0         0.0         4.048     4.048     4.048     16.582    0.0         inf      0.0        
 200         -3.7137     0.02671     -3.68699    206.65   0.0         0.0         4.048     4.048     4.048     16.582    0.0         34198.03 0.0003     
 300         -3.70415    0.01783     -3.68633    137.9    0.0         0.0         4.048     4.048     4.048     16.582    0.0         21167.41 0.00039    
 400         -3.69888    0.01391     -3.68497    107.63   0.0         0.0         4.048     4.048     4.048     16.582    0.0         19575.5  0.00037    
 500         -3.70797    0.02535     -3.68262    196.14   0.0         0.0         4.048     4.048     4.048     16.582    0.0         31618.69 0.00031    
 600         -3.70732    0.02459     -3.68273    190.26   0.0         0.0         4.048     4.048     4.048     16.582    0.0         33689.78 0.00029    
 700         -3.70935    0.02687     -3.68249    207.85   0.0         0.0         4.048     4.048     4.048     16.582    0.0         33418.53 0.0003     
 800         -3.70399    0.02229     -3.68169    172.46   0.0         0.0         4.048     4.048     4.048     16.582    0.0         25163.94 0.00037    
 900         -3.70678    0.02327     -3.68351    180.03   0.0         0.0         4.048     4.048     4.048     16.582    0.0         28781.63 0.00033    
 1000        -3.70776    0.02586     -3.6819     200.04   0.0         0.0         4.048     4.048     4.048     16.582    0.0         30987.86 0.00032    
 1100        -3.7087     0.02674     -3.68196    206.87   0.0         0.0         4.048     4.048     4.048     16.582    0.0         33578.41 0.0003     
