Material ID: Al_MTP_06_180
Unit cell composition: Al32
Material:  Al
Site positions of initial unit cell:
 Al          Al          Al          Al         
 0.00000     0.00000     2.02395     2.02395    
 0.00000     2.02395     0.00000     2.02395    
 0.00000     2.02395     2.02395     0.00000    
Properties:
 Time        Epot        Ekin        Etot        Temp     MSD         Self_diff   LC_a      LC_b      LC_c      Volume      Pressure    DebyeT   Lindemann 
 fs          eV/atom     eV/atom     eV/atom     K        Å^2         mm^2/s      Å         Å         Å         Å^3/atom    GPa        K        1          
 100         -3.72862    0.03269     -3.69593    252.9    0.0         0.0         4.048     4.048     4.048     16.582    0.0         inf      0.0        
 200         -3.71274    0.01682     -3.69592    130.1    0.01898     0.00016     4.048     4.048     4.048     16.582    0.0         333.01   0.02407    
 300         -3.70673    0.0108      -3.69592    83.58    0.05304     0.00029     4.048     4.048     4.048     16.582    0.0         159.67   0.04023    
 400         -3.7072     0.01128     -3.69592    87.25    0.0978      0.00041     4.048     4.048     4.048     16.582    0.0         120.14   0.05463    
 500         -3.71551    0.01959     -3.69593    151.54   0.15565     0.00052     4.048     4.048     4.048     16.582    0.0         125.51   0.06892    
 600         -3.71329    0.01736     -3.69592    134.31   0.23931     0.00066     4.048     4.048     4.048     16.582    0.0         95.3     0.08545    
 700         -3.71604    0.02011     -3.69593    155.59   0.34171     0.00081     4.048     4.048     4.048     16.582    0.0         85.83    0.10211    
 800         -3.71352    0.01759     -3.69593    136.09   0.4632      0.00097     4.048     4.048     4.048     16.582    0.0         68.95    0.11889    
 900         -3.71582    0.01989     -3.69593    153.91   0.59848     0.00111     4.048     4.048     4.048     16.582    0.0         64.51    0.13514    
 1000        -3.71157    0.01564     -3.69592    121.03   0.75587     0.00126     4.048     4.048     4.048     16.582    0.0         50.9     0.15187    
 1100        -3.71347    0.01755     -3.69593    135.76   0.93125     0.00141     4.048     4.048     4.048     16.582    0.0         48.57    0.16857    
 1200        -3.71377    0.01785     -3.69593    138.08   1.12611     0.00156     4.048     4.048     4.048     16.582    0.0         44.54    0.18537    
 1300        -3.71282    0.0169      -3.69593    130.73   1.33816     0.00172     4.048     4.048     4.048     16.582    0.0         39.76    0.20207    
