Material ID: Al_MTP_06_200
Unit cell composition: Al32
Material:  Al
Site positions of initial unit cell:
 Al          Al          Al          Al         
 0.00000     0.00000     2.02395     2.02395    
 0.00000     2.02395     0.00000     2.02395    
 0.00000     2.02395     2.02395     0.00000    
Properties:
 Time        Epot        Ekin        Etot        Temp     MSD         Self_diff   LC_a      LC_b      LC_c      Volume      Pressure    DebyeT   Lindemann 
 fs          eV/atom     eV/atom     eV/atom     K        Å^2         mm^2/s      Å         Å         Å         Å^3/atom    GPa        K        1          
 100         -3.72891    0.02756     -3.70134    213.22   0.0         0.0         4.048     4.048     4.048     16.582    0.0         inf      0.0        
 200         -3.71652    0.01518     -3.70134    117.46   0.01016     8e-05       4.048     4.048     4.048     16.582    0.0         432.44   0.01761    
 300         -3.71512    0.01378     -3.70134    106.63   0.02142     0.00012     4.048     4.048     4.048     16.582    0.0         283.79   0.02557    
 400         -3.70836    0.00702     -3.70134    54.34    0.03528     0.00015     4.048     4.048     4.048     16.582    0.0         157.86   0.03281    
 500         -3.71735    0.01601     -3.70134    123.89   0.04796     0.00016     4.048     4.048     4.048     16.582    0.0         204.44   0.03826    
 600         -3.71924    0.0179      -3.70134    138.48   0.0676      0.00019     4.048     4.048     4.048     16.582    0.0         182.05   0.04542    
 700         -3.71671    0.01536     -3.70134    118.86   0.09744     0.00023     4.048     4.048     4.048     16.582    0.0         140.49   0.05453    
 800         -3.71513    0.01379     -3.70134    106.71   0.13271     0.00028     4.048     4.048     4.048     16.582    0.0         114.07   0.06364    
 900         -3.71032    0.00898     -3.70134    69.48    0.17308     0.00032     4.048     4.048     4.048     16.582    0.0         80.59    0.07267    
 1000        -3.71797    0.01663     -3.70134    128.63   0.2107      0.00035     4.048     4.048     4.048     16.582    0.0         99.39    0.08018    
 1100        -3.71789    0.01655     -3.70134    128.0    0.25523     0.00039     4.048     4.048     4.048     16.582    0.0         90.08    0.08825    
 1200        -3.72144    0.0201      -3.70134    155.47   0.3069      0.00043     4.048     4.048     4.048     16.582    0.0         90.54    0.09677    
 1300        -3.71125    0.00991     -3.70134    76.68    0.37003     0.00047     4.048     4.048     4.048     16.582    0.0         57.91    0.10626    
 1400        -3.71413    0.01279     -3.70134    98.95    0.43064     0.00051     4.048     4.048     4.048     16.582    0.0         60.97    0.11463    
 1500        -3.71138    0.01004     -3.70134    77.69    0.49921     0.00055     4.048     4.048     4.048     16.582    0.0         50.18    0.12342    
 1600        -3.71913    0.01779     -3.70134    137.62   0.56659     0.00059     4.048     4.048     4.048     16.582    0.0         62.69    0.13149    
 1700        -3.71694    0.0156      -3.70134    120.71   0.64494     0.00063     4.048     4.048     4.048     16.582    0.0         55.03    0.14029    
 1800        -3.71676    0.01541     -3.70134    119.25   0.72857     0.00067     4.048     4.048     4.048     16.582    0.0         51.46    0.1491     
 1900        -3.714      0.01266     -3.70134    97.91    0.81691     0.00072     4.048     4.048     4.048     16.582    0.0         44.04    0.15789    
 2000        -3.71438    0.01304     -3.70134    100.91   0.90909     0.00076     4.048     4.048     4.048     16.582    0.0         42.38    0.16656    
 2100        -3.71638    0.01504     -3.70134    116.32   1.00398     0.0008      4.048     4.048     4.048     16.582    0.0         43.3     0.17503    
 2200        -3.71694    0.0156      -3.70134    120.68   1.10659     0.00084     4.048     4.048     4.048     16.582    0.0         42.01    0.18376    
 2300        -3.71578    0.01444     -3.70134    111.74   1.21395     0.00088     4.048     4.048     4.048     16.582    0.0         38.59    0.19247    
 2400        -3.71258    0.01124     -3.70134    86.96    1.32792     0.00092     4.048     4.048     4.048     16.582    0.0         32.55    0.2013     
 2500        -3.71548    0.01414     -3.70134    109.37   1.44361     0.00096     4.048     4.048     4.048     16.582    0.0         35.01    0.20988    
 2600        -3.71623    0.01489     -3.70134    115.16   1.56406     0.001       4.048     4.048     4.048     16.582    0.0         34.52    0.21847    
 2700        -3.71906    0.01772     -3.70134    137.09   1.68907     0.00104     4.048     4.048     4.048     16.582    0.0         36.24    0.22703    
 2800        -3.71524    0.0139      -3.70134    107.55   1.82338     0.00109     4.048     4.048     4.048     16.582    0.0         30.89    0.23588    
 2900        -3.71543    0.01409     -3.70134    108.97   1.96064     0.00113     4.048     4.048     4.048     16.582    0.0         29.99    0.2446     
 3000        -3.71185    0.01051     -3.70134    81.32    2.10467     0.00117     4.048     4.048     4.048     16.582    0.0         25.0     0.25342    
 3100        -3.71511    0.01377     -3.70134    106.53   2.24926     0.00121     4.048     4.048     4.048     16.582    0.0         27.68    0.26198    
 3200        -3.71391    0.01257     -3.70134    97.24    2.40085     0.00125     4.048     4.048     4.048     16.582    0.0         25.6     0.27067    
 3300        -3.71688    0.01554     -3.70134    120.21   2.5569      0.00129     4.048     4.048     4.048     16.582    0.0         27.58    0.27933    
 3400        -3.71625    0.01491     -3.70134    115.34   2.71906     0.00133     4.048     4.048     4.048     16.582    0.0         26.2     0.28805    
 3500        -3.71717    0.01583     -3.70134    122.43   2.88611     0.00137     4.048     4.048     4.048     16.582    0.0         26.2     0.29676    
 3600        -3.71576    0.01442     -3.70134    111.57   3.05842     0.00142     4.048     4.048     4.048     16.582    0.0         24.3     0.30549    
 3700        -3.71378    0.01244     -3.70134    96.26    3.23481     0.00146     4.048     4.048     4.048     16.582    0.0         21.94    0.31418    
 3800        -3.71607    0.01473     -3.70134    113.99   3.4163      0.0015      4.048     4.048     4.048     16.582    0.0         23.24    0.32287    
 3900        -3.71403    0.01269     -3.70134    98.2     3.60466     0.00154     4.048     4.048     4.048     16.582    0.0         21.0     0.33166    
 4000        -3.71668    0.01534     -3.70134    118.66   3.79479     0.00158     4.048     4.048     4.048     16.582    0.0         22.49    0.34029    
 4100        -3.7144     0.01306     -3.70134    101.04   3.99198     0.00162     4.048     4.048     4.048     16.582    0.0         20.24    0.34902    
 4200        -3.71679    0.01545     -3.70134    119.53   4.19215     0.00166     4.048     4.048     4.048     16.582    0.0         21.48    0.35766    
 4300        -3.71407    0.01274     -3.70134    98.53    4.39974     0.00171     4.048     4.048     4.048     16.582    0.0         19.04    0.36641    
 4400        -3.71767    0.01633     -3.70134    126.3    4.61038     0.00175     4.048     4.048     4.048     16.582    0.0         21.05    0.37508    
 4500        -3.71608    0.01474     -3.70134    114.03   4.8265      0.00179     4.048     4.048     4.048     16.582    0.0         19.55    0.38377    
 4600        -3.71764    0.0163      -3.70134    126.08   5.0477      0.00183     4.048     4.048     4.048     16.582    0.0         20.1     0.39247    
 4700        -3.71295    0.01161     -3.70134    89.84    5.27612     0.00187     4.048     4.048     4.048     16.582    0.0         16.6     0.40125    
 4800        -3.71479    0.01345     -3.70134    104.08   5.50723     0.00191     4.048     4.048     4.048     16.582    0.0         17.49    0.40994    
 4900        -3.71347    0.01213     -3.70134    93.88    5.74411     0.00195     4.048     4.048     4.048     16.582    0.0         16.26    0.41867    
 5000        -3.71706    0.01572     -3.70134    121.63   5.98386     0.00199     4.048     4.048     4.048     16.582    0.0         18.14    0.42731    
 5100        -3.71669    0.01535     -3.70134    118.73   6.23034     0.00204     4.048     4.048     4.048     16.582    0.0         17.56    0.43602    
 5200        -3.71844    0.0171      -3.70134    132.27   6.48085     0.00208     4.048     4.048     4.048     16.582    0.0         18.17    0.4447     
 5300        -3.71457    0.01323     -3.70134    102.37   6.7388      0.00212     4.048     4.048     4.048     16.582    0.0         15.68    0.45347    
 5400        -3.71491    0.01357     -3.70134    104.97   7.00052     0.00216     4.048     4.048     4.048     16.582    0.0         15.58    0.46219    
 5500        -3.71567    0.01433     -3.70134    110.85   7.26648     0.0022      4.048     4.048     4.048     16.582    0.0         15.71    0.47089    
 5600        -3.71606    0.01473     -3.70134    113.92   7.53692     0.00224     4.048     4.048     4.048     16.582    0.0         15.64    0.47957    
 5700        -3.71555    0.01421     -3.70134    109.92   7.81385     0.00228     4.048     4.048     4.048     16.582    0.0         15.09    0.4883     
 5800        -3.71441    0.01307     -3.70134    101.1    8.09527     0.00233     4.048     4.048     4.048     16.582    0.0         14.22    0.49702    
 5900        -3.7156     0.01426     -3.70134    110.3    8.38199     0.00237     4.048     4.048     4.048     16.582    0.0         14.59    0.50574    
 6000        -3.71653    0.01519     -3.70134    117.49   8.67216     0.00241     4.048     4.048     4.048     16.582    0.0         14.81    0.51442    
 6100        -3.71956    0.01822     -3.70134    140.99   8.9668      0.00245     4.048     4.048     4.048     16.582    0.0         15.95    0.52309    
 6200        -3.71616    0.01482     -3.70134    114.68   9.26968     0.00249     4.048     4.048     4.048     16.582    0.0         14.15    0.53185    
 6300        -3.71758    0.01624     -3.70134    125.61   9.57584     0.00253     4.048     4.048     4.048     16.582    0.0         14.57    0.54056    
 6400        -3.71398    0.01264     -3.70134    97.82    9.88784     0.00257     4.048     4.048     4.048     16.582    0.0         12.65    0.5493     
 6500        -3.71748    0.01615     -3.70134    124.91   10.2023     0.00262     4.048     4.048     4.048     16.582    0.0         14.07    0.55796    
 6600        -3.71378    0.01245     -3.70134    96.28    10.52424    0.00266     4.048     4.048     4.048     16.582    0.0         12.17    0.5667     
 6700        -3.71746    0.01613     -3.70134    124.75   10.84947    0.0027      4.048     4.048     4.048     16.582    0.0         13.64    0.57539    
 6800        -3.71646    0.01512     -3.70134    116.95   11.17953    0.00274     4.048     4.048     4.048     16.582    0.0         13.01    0.58407    
 6900        -3.71973    0.01839     -3.70134    142.26   11.51482    0.00278     4.048     4.048     4.048     16.582    0.0         14.14    0.59277    
 7000        -3.71433    0.01299     -3.70134    100.51   11.8589     0.00282     4.048     4.048     4.048     16.582    0.0         11.71    0.60156    
 7100        -3.71616    0.01482     -3.70134    114.65   12.20532    0.00287     4.048     4.048     4.048     16.582    0.0         12.33    0.61028    
 7200        -3.71524    0.0139      -3.70134    107.52   12.55545    0.00291     4.048     4.048     4.048     16.582    0.0         11.77    0.61897    
 7300        -3.71736    0.01602     -3.70134    123.95   12.91008    0.00295     4.048     4.048     4.048     16.582    0.0         12.46    0.62765    
 7400        -3.7169     0.01556     -3.70134    120.41   13.27157    0.00299     4.048     4.048     4.048     16.582    0.0         12.12    0.63638    
 7500        -3.7163     0.01496     -3.70134    115.72   13.63786    0.00303     4.048     4.048     4.048     16.582    0.0         11.72    0.6451     
 7600        -3.71501    0.01368     -3.70134    105.8    14.00843    0.00307     4.048     4.048     4.048     16.582    0.0         11.05    0.65381    
 7700        -3.71516    0.01382     -3.70134    106.92   14.38349    0.00311     4.048     4.048     4.048     16.582    0.0         10.97    0.6625     
 7800        -3.71732    0.01598     -3.70134    123.63   14.76357    0.00315     4.048     4.048     4.048     16.582    0.0         11.64    0.6712     
 7900        -3.71816    0.01682     -3.70134    130.13   15.14862    0.0032      4.048     4.048     4.048     16.582    0.0         11.79    0.67989    
 8000        -3.71724    0.0159      -3.70134    122.99   15.54052    0.00324     4.048     4.048     4.048     16.582    0.0         11.32    0.68863    
 8100        -3.71248    0.01114     -3.70134    86.2     15.93926    0.00328     4.048     4.048     4.048     16.582    0.0         9.35     0.69741    
 8200        -3.71317    0.01183     -3.70134    91.54    16.34006    0.00332     4.048     4.048     4.048     16.582    0.0         9.52     0.70613    
 8300        -3.71404    0.0127      -3.70134    98.27    16.74452    0.00336     4.048     4.048     4.048     16.582    0.0         9.75     0.71481    
 8400        -3.7177     0.01636     -3.70134    126.57   17.15414    0.0034      4.048     4.048     4.048     16.582    0.0         10.93    0.7235     
 8500        -3.71511    0.01378     -3.70134    106.58   17.57048    0.00345     4.048     4.048     4.048     16.582    0.0         9.91     0.73223    
 8600        -3.71863    0.01729     -3.70134    133.78   17.98914    0.00349     4.048     4.048     4.048     16.582    0.0         10.97    0.7409     
 8700        -3.71397    0.01263     -3.70134    97.75    18.41685    0.00353     4.048     4.048     4.048     16.582    0.0         9.27     0.74966    
 8800        -3.71553    0.01419     -3.70134    109.78   18.84664    0.00357     4.048     4.048     4.048     16.582    0.0         9.71     0.75835    
 8900        -3.71559    0.01425     -3.70134    110.23   19.28197    0.00361     4.048     4.048     4.048     16.582    0.0         9.62     0.76706    
