Material ID: Al_MTP_10_200
Unit cell composition: Al32
Material:  Al
Site positions of initial unit cell:
 Al          Al          Al          Al         
 0.00000     0.00000     2.02395     2.02395    
 0.00000     2.02395     0.00000     2.02395    
 0.00000     2.02395     2.02395     0.00000    
Properties:
 Time        Epot        Ekin        Etot        Temp     MSD         Self_diff   LC_a      LC_b      LC_c      Volume      Pressure    DebyeT   Lindemann 
 fs          eV/atom     eV/atom     eV/atom     K        Å^2         mm^2/s      Å         Å         Å         Å^3/atom    GPa        K        1          
 100         -3.7286     0.0376      -3.691      290.91   0.0         0.0         4.048     4.048     4.048     16.582    0.0         inf      0.0        
 200         -3.70743    0.01644     -3.69099    127.16   0.01723     0.00014     4.048     4.048     4.048     16.582    0.0         345.52   0.02293    
 300         -3.70806    0.01707     -3.69099    132.07   0.03908     0.00022     4.048     4.048     4.048     16.582    0.0         233.84   0.03453    
 400         -3.70112    0.01013     -3.69099    78.41    0.06998     0.00029     4.048     4.048     4.048     16.582    0.0         134.64   0.04621    
 500         -3.71384    0.02285     -3.69099    176.79   0.09712     0.00032     4.048     4.048     4.048     16.582    0.0         171.62   0.05444    
 600         -3.71348    0.02249     -3.69099    174.01   0.14541     0.0004      4.048     4.048     4.048     16.582    0.0         139.15   0.06661    
 700         -3.70942    0.01843     -3.69099    142.55   0.20953     0.0005      4.048     4.048     4.048     16.582    0.0         104.92   0.07996    
 800         -3.70687    0.01588     -3.69099    122.83   0.28111     0.00059     4.048     4.048     4.048     16.582    0.0         84.08    0.09262    
 900         -3.70695    0.01596     -3.69099    123.47   0.36047     0.00067     4.048     4.048     4.048     16.582    0.0         74.45    0.10488    
 1000        -3.71374    0.02275     -3.69099    175.97   0.44813     0.00075     4.048     4.048     4.048     16.582    0.0         79.71    0.11694    
 1100        -3.71157    0.02057     -3.69099    159.18   0.54937     0.00083     4.048     4.048     4.048     16.582    0.0         68.47    0.12948    
 1200        -3.71531    0.02432     -3.69099    188.12   0.66245     0.00092     4.048     4.048     4.048     16.582    0.0         67.79    0.14218    
 1300        -3.7085     0.01751     -3.69099    135.49   0.78814     0.00101     4.048     4.048     4.048     16.582    0.0         52.74    0.15508    
 1400        -3.70834    0.01735     -3.69099    134.22   0.92559     0.0011      4.048     4.048     4.048     16.582    0.0         48.44    0.16806    
 1500        -3.70731    0.01632     -3.69099    126.28   1.07211     0.00119     4.048     4.048     4.048     16.582    0.0         43.66    0.18087    
 1600        -3.70914    0.01815     -3.69099    140.39   1.22508     0.00128     4.048     4.048     4.048     16.582    0.0         43.06    0.19335    
 1700        -3.71498    0.02399     -3.69099    185.59   1.38941     0.00136     4.048     4.048     4.048     16.582    0.0         46.49    0.20591    
 1800        -3.71053    0.01954     -3.69099    151.2    1.57032     0.00145     4.048     4.048     4.048     16.582    0.0         39.47    0.2189     
 1900        -3.71132    0.02033     -3.69099    157.3    1.76049     0.00154     4.048     4.048     4.048     16.582    0.0         38.02    0.23178    
 2000        -3.70907    0.01808     -3.69099    139.84   1.95967     0.00163     4.048     4.048     4.048     16.582    0.0         33.98    0.24454    
 2100        -3.71306    0.02207     -3.69099    170.72   2.16594     0.00172     4.048     4.048     4.048     16.582    0.0         35.71    0.25709    
 2200        -3.71124    0.02025     -3.69099    156.66   2.38865     0.00181     4.048     4.048     4.048     16.582    0.0         32.58    0.26998    
 2300        -3.71071    0.01972     -3.69099    152.54   2.62263     0.0019      4.048     4.048     4.048     16.582    0.0         30.68    0.28289    
 2400        -3.70997    0.01898     -3.69099    146.82   2.86543     0.00199     4.048     4.048     4.048     16.582    0.0         28.79    0.2957     
