Material ID: Si_DFT
Unit cell composition: Si8
Material:  Si
Site positions of initial unit cell:
 Si          Si          Si          Si         
 0.00000     1.36722     0.00000     1.36722    
 0.00000     1.36722     2.73445     4.10168    
 0.00000     1.36722     2.73445     4.10168    
Properties:
 Time        Epot        Ekin        Etot        Temp     MSD         Self_diff   LC_a      LC_b      LC_c      Volume      Pressure    DebyeT   Lindemann 
 fs          eV/atom     eV/atom     eV/atom     K        Å^2         mm^2/s      Å         Å         Å         Å^3/atom    GPa        K        1          
 100         -5.42476    0.02809     -5.39667    217.31   10.98558    0.18309     2.734     2.734     2.734     20.446    0.01219     17.54    0.60605    
 200         -5.40103    0.03199     -5.36904    247.48   11.10024    0.0925      2.734     2.734     2.734     20.446    -0.14305    18.62    0.60921    
 300         -5.35637    0.05356     -5.30282    414.34   18.18746    0.10104     2.734     2.734     2.734     20.446    -0.74526    18.82    0.77981    
 400         -5.398      0.03455     -5.36344    267.33   14.19328    0.05914     2.734     2.734     2.734     20.446    0.42188     17.11    0.68888    
 500         -5.36075    0.0198      -5.34095    153.17   13.61786    0.04539     2.734     2.734     2.734     20.446    0.08965     13.22    0.67477    
 600         -5.36135    0.03215     -5.3292     248.7    17.33001    0.04814     2.734     2.734     2.734     20.446    -0.32485    14.94    0.7612     
 700         -5.40911    0.02664     -5.38247    206.12   17.90307    0.04263     2.734     2.734     2.734     20.446    -0.13866    13.38    0.77368    
 800         -5.41784    0.03223     -5.38562    249.31   0.00252     1e-05       2.734     2.734     2.734     20.446    -0.00788    1239.15  0.00919    
 900         -5.38023    0.02354     -5.35669    182.13   14.6728     0.02717     2.734     2.734     2.734     20.446    -0.52236    13.89    0.70042    
 1000        -5.36937    0.04434     -5.32503    343.06   18.20438    0.03034     2.734     2.734     2.734     20.446    -0.33229    17.12    0.78017    
 1100        -5.40199    0.03148     -5.37051    243.54   17.84837    0.02704     2.734     2.734     2.734     20.446    0.56907     14.56    0.7725     
 1200        -5.36129    0.02011     -5.34118    155.54   13.63662    0.01894     2.734     2.734     2.734     20.446    0.39116     13.32    0.67523    
 1300        -5.37207    0.0441      -5.32798    341.14   17.56775    0.02252     2.734     2.734     2.734     20.446    -0.34823    17.37    0.7664     
 1400        -5.41156    0.03263     -5.37894    252.42   7.29678     0.00869     2.734     2.734     2.734     20.446    -0.12081    23.19    0.49393    
 1500        -5.41387    0.04334     -5.37053    335.28   14.68065    0.01631     2.734     2.734     2.734     20.446    -0.06484    18.84    0.7006     
 1600        -5.39004    0.02555     -5.36449    197.69   21.94517    0.02286     2.734     2.734     2.734     20.446    -0.36858    11.83    0.85658    
 1700        -5.38199    0.03307     -5.34892    255.82   14.2774     0.014       2.734     2.734     2.734     20.446    0.05733     16.69    0.69091    
 1800        -5.39431    0.02892     -5.36539    223.73   14.08174    0.01304     2.734     2.734     2.734     20.446    0.42588     15.72    0.68616    
 1900        -5.37105    0.03987     -5.33118    308.45   17.513      0.01536     2.734     2.734     2.734     20.446    0.17536     16.55    0.76521    
 2000        -5.38976    0.04331     -5.34645    335.04   21.38127    0.01782     2.734     2.734     2.734     20.446    -0.26059    15.61    0.84551    
 2100        -5.41198    0.04026     -5.37172    311.47   10.99252    0.00872     2.734     2.734     2.734     20.446    -0.09428    20.99    0.60625    
 2200        -5.39189    0.04207     -5.34982    325.46   18.29723    0.01386     2.734     2.734     2.734     20.446    -0.18752    16.63    0.78215    
 2300        -5.3586     0.04183     -5.31677    323.59   14.07046    0.0102      2.734     2.734     2.734     20.446    -0.40472    18.91    0.68589    
 2400        -5.40439    0.05253     -5.35186    406.38   17.57885    0.01221     2.734     2.734     2.734     20.446    0.26737     18.96    0.76665    
 2500        -5.328      0.02337     -5.30463    180.81   14.12914    0.00942     2.734     2.734     2.734     20.446    -0.69685    14.1     0.68732    
 2600        -5.39975    0.04142     -5.35833    320.43   17.90016    0.01147     2.734     2.734     2.734     20.446    -0.08474    16.68    0.77362    
 2700        -5.40905    0.0291      -5.37995    225.12   18.19417    0.01123     2.734     2.734     2.734     20.446    -0.09458    13.87    0.77995    
 2800        -5.3847     0.03209     -5.35261    248.26   10.95788    0.00652     2.734     2.734     2.734     20.446    -0.46027    18.77    0.60529    
 2900        -5.39947    0.01822     -5.38125    140.94   10.89973    0.00626     2.734     2.734     2.734     20.446    -0.06085    14.18    0.60368    
 3000        -5.36153    0.0271      -5.33443    209.65   10.83611    0.00602     2.734     2.734     2.734     20.446    -0.55839    17.34    0.60192    
 3100        -5.40041    0.06196     -5.33845    479.32   14.38873    0.00774     2.734     2.734     2.734     20.446    0.07741     22.76    0.6936     
 3200        -5.35813    0.0288      -5.32934    222.77   21.56441    0.01123     2.734     2.734     2.734     20.446    -0.40738    12.67    0.84912    
 3300        -5.40898    0.04924     -5.35974    380.92   18.05956    0.00912     2.734     2.734     2.734     20.446    -0.02488    18.11    0.77706    
 3400        -5.41196    0.05137     -5.36058    397.44   10.96629    0.00538     2.734     2.734     2.734     20.446    -0.04416    23.74    0.60552    
 3500        -5.38164    0.05155     -5.33009    398.79   7.36552     0.00351     2.734     2.734     2.734     20.446    -0.6126     29.01    0.49625    
 3600        -5.39927    0.03064     -5.36863    237.08   14.7308     0.00682     2.734     2.734     2.734     20.446    0.11335     15.82    0.7018     
 3700        -5.3732     0.02913     -5.34407    225.35   14.67231    0.00661     2.734     2.734     2.734     20.446    0.0971      15.45    0.70041    
 3800        -5.38556    0.04019     -5.34537    310.95   14.71274    0.00645     2.734     2.734     2.734     20.446    -0.19908    18.13    0.70137    
 3900        -5.40425    0.05007     -5.35419    387.34   14.83421    0.00634     2.734     2.734     2.734     20.446    -0.21986    20.15    0.70426    
 4000        -5.40343    0.03584     -5.36759    277.26   11.03897    0.0046      2.734     2.734     2.734     20.446    0.17758     19.76    0.60753    
 4100        -5.35577    0.03404     -5.32173    263.35   21.95594    0.00893     2.734     2.734     2.734     20.446    -0.04065    13.65    0.85679    
 4200        -5.39603    0.03481     -5.36122    269.33   10.94523    0.00434     2.734     2.734     2.734     20.446    -0.06138    19.56    0.60494    
 4300        -5.40809    0.03167     -5.37643    244.97   11.09128    0.0043      2.734     2.734     2.734     20.446    -0.24776    18.53    0.60896    
 4400        -5.39506    0.02568     -5.36938    198.7    11.12124    0.00421     2.734     2.734     2.734     20.446    0.07601     16.67    0.60978    
 4500        -5.35208    0.03403     -5.31805    263.26   18.16944    0.00673     2.734     2.734     2.734     20.446    0.01047     15.01    0.77942    
 4600        -5.40206    0.03349     -5.36857    259.11   21.84079    0.00791     2.734     2.734     2.734     20.446    0.12912     13.58    0.85454    
 4700        -5.41713    0.03137     -5.38576    242.67   3.68299     0.00131     2.734     2.734     2.734     20.446    -0.07933    32.0     0.35091    
 4800        -5.39054    0.02858     -5.36196    221.11   21.89536    0.0076      2.734     2.734     2.734     20.446    0.11936     12.53    0.85561    
 4900        -5.35263    0.04564     -5.30699    353.09   17.77352    0.00605     2.734     2.734     2.734     20.446    -0.0275     17.57    0.77088    
 5000        -5.40785    0.03097     -5.37688    239.59   21.46443    0.00715     2.734     2.734     2.734     20.446    0.06716     13.17    0.84715    
 5100        -5.41218    0.03749     -5.37469    290.01   14.59639    0.00477     2.734     2.734     2.734     20.446    -0.14908    17.57    0.69859    
 5200        -5.3766     0.04216     -5.33444    326.17   11.01759    0.00353     2.734     2.734     2.734     20.446    -0.14356    21.45    0.60694    
 5300        -5.34813    0.03999     -5.30814    309.36   21.27868    0.00669     2.734     2.734     2.734     20.446    -0.2119     15.03    0.84348    
 5400        -5.41264    0.03862     -5.37402    298.76   17.67379    0.00545     2.734     2.734     2.734     20.446    0.17644     16.21    0.76871    
 5500        -5.40508    0.01935     -5.38572    149.72   14.38119    0.00436     2.734     2.734     2.734     20.446    -0.14948    12.72    0.69342    
 5600        -5.39381    0.05476     -5.33905    423.61   10.99128    0.00327     2.734     2.734     2.734     20.446    -0.02557    24.48    0.60621    
 5700        -5.38704    0.01082     -5.37622    83.71    17.79803    0.0052      2.734     2.734     2.734     20.446    0.39892     8.55     0.77141    
 5800        -5.37659    0.03097     -5.34561    239.63   21.07877    0.00606     2.734     2.734     2.734     20.446    0.08209     13.29    0.8395     
 5900        -5.38839    0.04497     -5.34342    347.9    17.70427    0.005       2.734     2.734     2.734     20.446    -0.31497    17.48    0.76938    
 6000        -5.41247    0.05425     -5.35822    419.72   10.95438    0.00304     2.734     2.734     2.734     20.446    -0.05111    24.41    0.60519    
 6100        -5.36478    0.01788     -5.3469     138.29   3.66475     0.001       2.734     2.734     2.734     20.446    -0.67342    24.22    0.35004    
 6200        -5.3938     0.03086     -5.36294    238.77   14.56414    0.00392     2.734     2.734     2.734     20.446    0.32206     15.96    0.69782    
 6300        -5.37852    0.03155     -5.34697    244.12   14.4299     0.00382     2.734     2.734     2.734     20.446    0.20937     16.22    0.6946     
 6400        -5.39658    0.02831     -5.36827    218.99   7.25873     0.00189     2.734     2.734     2.734     20.446    -0.07367    21.66    0.49264    
 6500        -5.41103    0.05598     -5.35505    433.05   7.3759      0.00189     2.734     2.734     2.734     20.446    -0.17396    30.21    0.4966     
 6600        -5.37932    0.05688     -5.32244    440.04   10.81963    0.00273     2.734     2.734     2.734     20.446    -0.14304    25.14    0.60146    
 6700        -5.37174    0.05893     -5.31282    455.88   14.27134    0.00355     2.734     2.734     2.734     20.446    0.19284     22.28    0.69077    
 6800        -5.39345    0.04935     -5.34411    381.78   18.13399    0.00444     2.734     2.734     2.734     20.446    0.07037     18.09    0.77866    
 6900        -5.39969    0.01741     -5.38228    134.67   7.35194     0.00178     2.734     2.734     2.734     20.446    -0.31121    16.87    0.49579    
 7000        -5.40636    0.02691     -5.37945    208.18   14.60864    0.00348     2.734     2.734     2.734     20.446    -0.13468    14.88    0.69888    
 7100        -5.37167    0.0285      -5.34316    220.5    18.08425    0.00425     2.734     2.734     2.734     20.446    -0.323      13.77    0.77759    
 7200        -5.39786    0.03523     -5.36263    272.57   21.60857    0.005       2.734     2.734     2.734     20.446    0.25109     14.0     0.84999    
 7300        -5.35866    0.03149     -5.32717    243.62   17.903      0.00409     2.734     2.734     2.734     20.446    -0.33483    14.54    0.77368    
 7400        -5.39919    0.06919     -5.33       535.27   21.71881    0.00489     2.734     2.734     2.734     20.446    -0.13666    19.57    0.85215    
 7500        -5.40729    0.0309      -5.37639    239.05   7.29303     0.00162     2.734     2.734     2.734     20.446    -0.16774    22.57    0.4938     
 7600        -5.38599    0.03609     -5.3499     279.22   14.58081    0.0032      2.734     2.734     2.734     20.446    -0.23443    17.25    0.69822    
 7700        -5.37309    0.03785     -5.33524    292.79   17.69976    0.00383     2.734     2.734     2.734     20.446    0.39915     16.04    0.76928    
 7800        -5.38809    0.02114     -5.36696    163.53   21.19899    0.00453     2.734     2.734     2.734     20.446    0.12606     10.95    0.84189    
 7900        -5.39895    0.0353      -5.36364    273.12   14.47814    0.00305     2.734     2.734     2.734     20.446    -0.31634    17.12    0.69576    
