Material ID: Si_DFT_eq_0
Unit cell composition: Si8
Material:  Si
Site positions of initial unit cell:
 Si          Si          Si          Si         
 0.00000     1.36722     0.00000     1.36722    
 0.00000     1.36722     2.73445     4.10168    
 0.00000     1.36722     2.73445     4.10168    
Properties:
 Time        Epot        Ekin        Etot        Temp     MSD         Self_diff   LC_a      LC_b      LC_c      Volume      Pressure    DebyeT   Lindemann 
 fs          eV/atom     eV/atom     eV/atom     K        Å^2         mm^2/s      Å         Å         Å         Å^3/atom    GPa        K        1          
 100         -5.42476    0.03364     -5.39112    260.24   0.0         0.0         2.734     2.734     2.734     20.446    0.01219     0        0.0        
 200         -5.40103    0.03163     -5.3694     244.72   0.00019     0.0         2.734     2.734     2.734     20.446    -0.14305    4431.33  0.00255    
 300         -5.35637    0.06253     -5.29384    483.75   0.00037     0.0         2.734     2.734     2.734     20.446    -0.74526    4508.01  0.00352    
 400         -5.398      0.01879     -5.37921    145.34   0.00051     0.0         2.734     2.734     2.734     20.446    0.42188     2107.59  0.00412    
 500         -5.36075    0.02006     -5.34069    155.16   0.00082     0.0         2.734     2.734     2.734     20.446    0.08965     1718.88  0.00522    
 600         -5.36135    0.05178     -5.30957    400.62   0.00061     0.0         2.734     2.734     2.734     20.446    -0.32485    3195.16  0.00452    
 700         -5.40911    0.06929     -5.33982    536.03   8e-05       0.0         2.734     2.734     2.734     20.446    -0.13866    10149.81 0.00164    
 800         -5.41784    0.01788     -5.39996    138.32   5e-05       0.0         2.734     2.734     2.734     20.446    -0.00788    6483.96  0.00131    
 900         -5.38023    0.01634     -5.36389    126.42   0.00019     0.0         2.734     2.734     2.734     20.446    -0.52236    3182.46  0.00255    
 1000        -5.36937    0.06095     -5.30842    471.51   0.00041     0.0         2.734     2.734     2.734     20.446    -0.33229    4216.9   0.00371    
 1100        -5.40199    0.03117     -5.37081    241.17   0.00057     0.0         2.734     2.734     2.734     20.446    0.56907     2563.57  0.00437    
 1200        -5.36129    0.02406     -5.33723    186.14   0.00093     0.0         2.734     2.734     2.734     20.446    0.39116     1765.9   0.00557    
 1300        -5.37207    0.03814     -5.33393    295.05   0.00039     0.0         2.734     2.734     2.734     20.446    -0.34823    3429.44  0.00361    
 1400        -5.41156    0.01618     -5.39539    125.15   4e-05       0.0         2.734     2.734     2.734     20.446    -0.12081    6616.75  0.00122    
 1500        -5.41387    0.02894     -5.38493    223.88   8e-05       0.0         2.734     2.734     2.734     20.446    -0.06484    6778.03  0.00159    
 1600        -5.39004    0.03448     -5.35556    266.75   0.00017     0.0         2.734     2.734     2.734     20.446    -0.36858    4936.72  0.00239    
 1700        -5.38199    0.01431     -5.36767    110.71   0.00043     0.0         2.734     2.734     2.734     20.446    0.05733     2000.59  0.00379    
 1800        -5.39431    0.02952     -5.3648     228.36   0.00059     0.0         2.734     2.734     2.734     20.446    0.42588     2452.54  0.00444    
 1900        -5.37105    0.04907     -5.32198    379.6    0.00073     0.0         2.734     2.734     2.734     20.446    0.17536     2841.94  0.00494    
 2000        -5.38976    0.04549     -5.34427    351.91   0.00026     0.0         2.734     2.734     2.734     20.446    -0.26059    4597.19  0.00294    
 2100        -5.41198    0.0159      -5.39609    122.97   5e-05       0.0         2.734     2.734     2.734     20.446    -0.09428    5918.85  0.00135    
 2200        -5.39189    0.0462      -5.34569    357.4    0.00024     0.0         2.734     2.734     2.734     20.446    -0.18752    4844.25  0.00281    
 2300        -5.3586     0.06726     -5.29134    520.32   0.00051     0.0         2.734     2.734     2.734     20.446    -0.40472    3967.5   0.00414    
 2400        -5.40439    0.01467     -5.38972    113.52   0.00038     0.0         2.734     2.734     2.734     20.446    0.26737     2165.89  0.00355    
 2500        -5.328      0.01853     -5.30947    143.37   0.00048     0.0         2.734     2.734     2.734     20.446    -0.69685    2149.84  0.00402    
 2600        -5.39975    0.01596     -5.3838     123.44   0.00022     0.0         2.734     2.734     2.734     20.446    -0.08474    2959.78  0.00271    
 2700        -5.40905    0.03575     -5.37331    276.55   0.00011     0.0         2.734     2.734     2.734     20.446    -0.09458    6138.18  0.00195    
 2800        -5.3847     0.02289     -5.36181    177.07   0.00017     0.0         2.734     2.734     2.734     20.446    -0.46027    4072.48  0.00236    
 2900        -5.39947    0.0238      -5.37567    184.16   0.00023     0.0         2.734     2.734     2.734     20.446    -0.06085    3519.2   0.00278    
 3000        -5.36153    0.08135     -5.28018    629.33   0.00039     0.0         2.734     2.734     2.734     20.446    -0.55839    5018.91  0.0036     
 3100        -5.40041    0.01554     -5.38487    120.21   0.00033     0.0         2.734     2.734     2.734     20.446    0.07741     2363.25  0.00334    
 3200        -5.35813    0.0296      -5.32853    229.0    0.00042     0.0         2.734     2.734     2.734     20.446    -0.40738    2919.74  0.00374    
 3300        -5.40898    0.06177     -5.34721    477.86   0.00014     0.0         2.734     2.734     2.734     20.446    -0.02488    7210.6   0.00219    
 3400        -5.41196    0.02327     -5.38869    180.02   8e-05       0.0         2.734     2.734     2.734     20.446    -0.04416    5745.15  0.00168    
 3500        -5.38164    0.02262     -5.35901    175.03   0.00015     0.0         2.734     2.734     2.734     20.446    -0.6126     4198.7   0.00227    
 3600        -5.39927    0.03392     -5.36535    262.45   0.00036     0.0         2.734     2.734     2.734     20.446    0.11335     3355.96  0.00348    
 3700        -5.3732     0.03627     -5.33693    280.58   0.00066     0.0         2.734     2.734     2.734     20.446    0.0971      2567.5   0.0047     
 3800        -5.38556    0.0218      -5.36376    168.65   0.00036     0.0         2.734     2.734     2.734     20.446    -0.19908    2696.11  0.00347    
