Material ID: Si_MTP_06_100_eq_0_ranfor_10000
Unit cell composition: Si8
Material:  Si
Site positions of initial unit cell:
 Si         
 0.00000    
 0.00000    
 0.00000    
Properties:
 Time        Epot        Ekin        Etot        Temp     MSD         Self_diff   LC_a      LC_b      LC_c      Volume      Pressure    DebyeT   Lindemann 
 fs          eV/atom     eV/atom     eV/atom     K        Å^2         mm^2/s      Å         Å         Å         Å^3/atom    GPa        K        1          
 100         -4.19886    0.02713     -4.17172    209.91   0.0         0.0         3.84      3.84      3.84      40.048    0.0         inf      0.0        
 200         -11.64874   3.82222     -7.82651    29570.06 0.00042     0.0         3.84      3.84      3.84      40.048    0.0         32960.13 0.00268    
 300         -10.38479   154557736.8761 154557726.49131 1195712444789.55 11777711986.21329 65431733.25674 3.84      3.84      3.84      40.048    0.0         39.73    14129.7886 
 400         -10.38479   0.46866     -9.91614    3625.68  11802137265.78586 49175571.94077 3.84      3.84      3.84      40.048    0.0         0.0      14144.43259
 500         -10.38479   0.03703     -10.34776   286.49   11802138092.42722 39340460.30809 3.84      3.84      3.84      40.048    0.0         0.0      14144.43308
 600         -10.38479   0.03672     -10.34807   284.06   11802138209.27458 32783717.24798 3.84      3.84      3.84      40.048    0.0         0.0      14144.43315
 700         -10.38479   0.0209      -10.36389   161.72   11802138118.59205 28100328.85379 3.84      3.84      3.84      40.048    0.0         0.0      14144.4331 
 800         -10.38479   0.04173     -10.34307   322.81   11802137653.86376 24587786.77888 3.84      3.84      3.84      40.048    0.0         0.0      14144.43282
 900         -10.38479   0.03345     -10.35134   258.77   11802137676.02746 21855810.51116 3.84      3.84      3.84      40.048    0.0         0.0      14144.43283
 1000        -10.38479   0.01051     -10.37428   81.29    11802137510.5305 19670229.18422 3.84      3.84      3.84      40.048    0.0         0.0      14144.43273
 1100        -10.38479   0.02159     -10.36321   166.99   11802137653.86388 17882026.74828 3.84      3.84      3.84      40.048    0.0         0.0      14144.43282
 1200        -10.38479   0.0486      -10.3362    375.95   11802137897.71402 16391858.19127 3.84      3.84      3.84      40.048    0.0         0.0      14144.43296
 1300        -10.38479   0.03418     -10.35062   264.4    11802137138.81134 15130945.04976 3.84      3.84      3.84      40.048    0.0         0.0      14144.43251
 1400        -10.38479   0.02146     -10.36333   166.03   11802136992.71897 14050163.08657 3.84      3.84      3.84      40.048    0.0         0.0      14144.43242
 1500        -10.38479   0.05064     -10.33415   391.75   11802137079.23904 13113485.6436 3.84      3.84      3.84      40.048    0.0         0.0      14144.43247
 1600        -10.38479   0.01227     -10.37252   94.96    11802136574.89139 12293892.26551 3.84      3.84      3.84      40.048    0.0         0.0      14144.43217
 1700        -10.38479   0.03653     -10.34826   282.61   11802137145.1387 11570722.69131 3.84      3.84      3.84      40.048    0.0         0.0      14144.43251
 1800        -10.38479   0.02285     -10.36194   176.78   11802136968.90887 10927904.60084 3.84      3.84      3.84      40.048    0.0         0.0      14144.43241
 1900        -10.38479   0.02446     -10.36033   189.24   11802137132.00126 10352751.87018 3.84      3.84      3.84      40.048    0.0         0.0      14144.43251
 2000        -10.38479   0.03022     -10.35457   233.79   11802137470.12829 9835114.55844 3.84      3.84      3.84      40.048    0.0         0.0      14144.43271
 2100        -10.38479   0.04274     -10.34205   330.68   11802137728.02708 9366775.97462 3.84      3.84      3.84      40.048    0.0         0.0      14144.43286
 2200        -10.38479   0.03419     -10.3506    264.51   11802137696.0128 8941013.40607 3.84      3.84      3.84      40.048    0.0         0.0      14144.43284
 2300        -10.38479   0.0655      -10.31929   506.71   11802137514.53264 8552273.56126 3.84      3.84      3.84      40.048    0.0         0.0      14144.43273
 2400        -10.38479   0.04767     -10.33712   368.77   11802137319.17905 8195928.69387 3.84      3.84      3.84      40.048    0.0         0.0      14144.43262
 2500        -10.38479   0.02923     -10.35556   226.16   11802137707.8589 7868091.80524 3.84      3.84      3.84      40.048    0.0         0.0      14144.43285
 2600        -10.38479   0.03657     -10.34822   282.95   11802137918.37916 7565473.0246 3.84      3.84      3.84      40.048    0.0         0.0      14144.43298
 2700        -10.38479   0.05408     -10.33071   418.37   11802137833.38174 7285270.26752 3.84      3.84      3.84      40.048    0.0         0.0      14144.43293
 2800        -10.38479   0.03515     -10.34964   271.92   11802137913.19114 7025082.09119 3.84      3.84      3.84      40.048    0.0         0.0      14144.43297
 2900        -10.38479   0.05077     -10.33402   392.76   11802137648.20532 6782837.72885 3.84      3.84      3.84      40.048    0.0         0.0      14144.43281
 3000        -10.38479   0.04579     -10.33901   354.21   11802137040.70863 6556742.80039 3.84      3.84      3.84      40.048    0.0         0.0      14144.43245
