Material ID: Si_MTP_06_1_eq_0_offset_2000_ranfor_10000
Unit cell composition: Si8
Material:  Si
Site positions of initial unit cell:
 Si         
 0.00000    
 0.00000    
 0.00000    
Properties:
 Time        Epot        Ekin        Etot        Temp     MSD         Self_diff   LC_a      LC_b      LC_c      Volume      Pressure    DebyeT   Lindemann 
 fs          eV/atom     eV/atom     eV/atom     K        Å^2         mm^2/s      Å         Å         Å         Å^3/atom    GPa        K        1          
 100         -2.56946    0.02237     -2.54709    173.08   0.00249     4e-05       3.84      3.84      3.84      40.048    0.0         1038.73  0.0065     
 200         -2.57477    0.03948     -2.53529    305.46   0.00086     1e-05       3.84      3.84      3.84      40.048    0.0         2348.37  0.00382    
 300         -2.57748    0.0388      -2.53868    300.18   0.00158     1e-05       3.84      3.84      3.84      40.048    0.0         1720.71  0.00517    
 400         -2.57593    0.02864     -2.54729    221.57   0.00118     0.0         3.84      3.84      3.84      40.048    0.0         1711.17  0.00447    
 500         -2.59411    0.03871     -2.5554     299.47   0.00119     0.0         3.84      3.84      3.84      40.048    0.0         1975.44  0.0045     
 600         -2.57335    0.02431     -2.54904    188.07   0.00173     0.0         3.84      3.84      3.84      40.048    0.0         1299.11  0.00542    
 700         -2.56437    0.03307     -2.5313     255.81   0.00148     0.0         3.84      3.84      3.84      40.048    0.0         1639.14  0.00501    
 800         -2.56044    0.03371     -2.52673    260.8    0.00204     0.0         3.84      3.84      3.84      40.048    0.0         1410.4   0.00588    
 900         -2.56122    0.04436     -2.51686    343.18   0.00267     0.0         3.84      3.84      3.84      40.048    0.0         1412.56  0.00673    
 1000        -2.56168    0.03436     -2.52732    265.8    0.00112     0.0         3.84      3.84      3.84      40.048    0.0         1919.02  0.00436    
 1100        -2.57409    0.03637     -2.53772    281.4    0.00209     0.0         3.84      3.84      3.84      40.048    0.0         1448.35  0.00595    
 1200        -2.5663     0.01908     -2.54722    147.64   0.00093     0.0         3.84      3.84      3.84      40.048    0.0         1574.6   0.00396    
 1300        -2.5803     0.01583     -2.56447    122.44   0.00179     0.0         3.84      3.84      3.84      40.048    0.0         1029.92  0.00552    
 1400        -2.56816    0.02721     -2.54095    210.5    0.0026      0.0         3.84      3.84      3.84      40.048    0.0         1122.66  0.00663    
 1500        -2.57053    0.04454     -2.526      344.56   0.00157     0.0         3.84      3.84      3.84      40.048    0.0         1849.25  0.00515    
 1600        -2.57226    0.03691     -2.53535    285.57   0.00183     0.0         3.84      3.84      3.84      40.048    0.0         1556.66  0.00557    
 1700        -2.57236    0.02206     -2.5503     170.64   0.0018      0.0         3.84      3.84      3.84      40.048    0.0         1214.48  0.00552    
 1800        -2.57799    0.02697     -2.55102    208.62   0.00107     0.0         3.84      3.84      3.84      40.048    0.0         1740.72  0.00426    
 1900        -2.56535    0.03294     -2.53241    254.85   0.00185     0.0         3.84      3.84      3.84      40.048    0.0         1462.41  0.0056     
 2000        -2.56384    0.03436     -2.52947    265.85   0.00192     0.0         3.84      3.84      3.84      40.048    0.0         1468.29  0.0057     
 2100        -2.55779    0.01961     -2.53818    151.72   0.00209     0.0         3.84      3.84      3.84      40.048    0.0         1061.14  0.00596    
 2200        -2.57325    0.03071     -2.54254    237.56   0.00212     0.0         3.84      3.84      3.84      40.048    0.0         1319.71  0.006      
 2300        -2.58374    0.02438     -2.55936    188.61   0.00188     0.0         3.84      3.84      3.84      40.048    0.0         1247.4   0.00565    
 2400        -2.57586    0.04222     -2.53364    326.62   0.00126     0.0         3.84      3.84      3.84      40.048    0.0         2005.83  0.00463    
 2500        -2.58832    0.03294     -2.55539    254.8    0.00125     0.0         3.84      3.84      3.84      40.048    0.0         1777.06  0.00461    
 2600        -2.55718    0.0453      -2.51188    350.46   0.00173     0.0         3.84      3.84      3.84      40.048    0.0         1775.9   0.00541    
 2700        -2.58528    0.04125     -2.54403    319.12   0.00172     0.0         3.84      3.84      3.84      40.048    0.0         1697.36  0.0054     
 2800        -2.58379    0.04244     -2.54135    328.31   0.00202     0.0         3.84      3.84      3.84      40.048    0.0         1590.36  0.00585    
 2900        -2.57701    0.02797     -2.54904    216.39   0.00121     0.0         3.84      3.84      3.84      40.048    0.0         1666.26  0.00453    
 3000        -2.57549    0.02284     -2.55264    176.73   0.00115     0.0         3.84      3.84      3.84      40.048    0.0         1544.31  0.00442    
 3100        -2.58419    0.0265      -2.55769    205.02   0.00158     0.0         3.84      3.84      3.84      40.048    0.0         1421.13  0.00517    
 3200        -2.57436    0.03449     -2.53987    266.84   0.00199     0.0         3.84      3.84      3.84      40.048    0.0         1443.54  0.00581    
 3300        -2.58229    0.02149     -2.5608     166.25   0.00143     0.0         3.84      3.84      3.84      40.048    0.0         1342.48  0.00493    
 3400        -2.57053    0.0367      -2.53383    283.91   0.00155     0.0         3.84      3.84      3.84      40.048    0.0         1689.93  0.00512    
 3500        -2.57911    0.03033     -2.54878    234.61   0.00217     0.0         3.84      3.84      3.84      40.048    0.0         1297.03  0.00606    
 3600        -2.56784    0.0276      -2.54023    213.56   0.00215     0.0         3.84      3.84      3.84      40.048    0.0         1243.42  0.00603    
